first_name,last_name,nickname,record,age,height,weight,weight_class,debut,arm_reach,leg_reach,born_town,academy,fighter_style,wins_by_ko,wins_by_first_round_ko,sig_striking_landed,sig_striking_throw,takedowns_attempted,takedowns_landed,takedowns_avg,sig_striking_landed_min,avg_knockdown_fight,striking_defence,knockdown_avg,sig_striking_recieved_min,sub_avg_per_fight,takedown_defence,avg_fight_time,sig_striking_landed_by_pos,wins_by_method,sig_striking_by_target
Daniel,Barez,,0-1-0 (W-L-D),34,66.00,126.00,Flyweight,"Mar. 07, 2023",66.00,37.00,España,,,0,0,52,102,16,,31%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(87%)', 'number': '45'}}, {'name': 'Clinch', 'value': {'percentage': '(10%)', 'number': '5'}}, {'name': 'Suelo', 'value': {'percentage': '(4%)', 'number': '2'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '48%', 'value': '25'}, 'body': {'percentage': '33%', 'value': '17'}, 'legs': {'percentage': '19%', 'value': '10'}}"
Shonte,Barnes,"""Shyne""",0-1-0 (W-L-D),36,71.00,185.00,Middleweight,"Mar. 07, 2023",76.00,41.50,"Wilson, Estados Unidos",,,0,0,18,47,1,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(89%)', 'number': '16'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '22%', 'value': '4'}, 'body': {'percentage': '44%', 'value': '8'}, 'legs': {'percentage': '33%', 'value': '6'}}"
James,Barnes,"""Mooka""",0-1-0 (W-L-D),40,68.00,135.00,Bantamweight,"Mar. 07, 2023",71.00,39.50,"Los Angeles, Estados Unidos",,,0,0,8,23,6,,17%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(63%)', 'number': '5'}}, {'name': 'Clinch', 'value': {'percentage': '(38%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '50%', 'value': '4'}, 'body': {'percentage': '25%', 'value': '2'}, 'legs': {'percentage': '25%', 'value': '2'}}"
Chris,Barnett,"""Beastboy""",23-8-0 (W-L-D),36,69.00,267.50,Heavyweight,"Mar. 07, 2023",75.00,39.00,España,,Boxing,18,8,148,305,1,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(68%)', 'number': '100'}}, {'name': 'Clinch', 'value': {'percentage': '(7%)', 'number': '11'}}, {'name': 'Suelo', 'value': {'percentage': '(25%)', 'number': '37'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(78%)', 'number': '18'}}, {'name': 'DEC', 'value': {'percentage': '(22%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '63%', 'value': '93'}, 'body': {'percentage': '10%', 'value': '15'}, 'legs': {'percentage': '27%', 'value': '40'}}"
Marc-Andre,Barriault,"""Powerbar""",15-6-0 (W-L-D),33,73.00,196.20,Middleweight,"Mar. 07, 2023",74.00,42.50,"Gatineau, Canadá",Sanford MMA,Striker,10,1,641,1362,8,1,25%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(61%)', 'number': '394'}}, {'name': 'Clinch', 'value': {'percentage': '(29%)', 'number': '183'}}, {'name': 'Suelo', 'value': {'percentage': '(10%)', 'number': '64'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(67%)', 'number': '10'}}, {'name': 'DEC', 'value': {'percentage': '(27%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(7%)', 'number': '1'}}]}","{'head': {'percentage': '75%', 'value': '481'}, 'body': {'percentage': '15%', 'value': '98'}, 'legs': {'percentage': '10%', 'value': '62'}}"
Javid,Basharat,"""The Snow Leopard""",14-0-0 (W-L-D),27,69.00,136.00,Bantamweight,"Mar. 12, 2022",69.00,41.00,"Paktia, Afganistán","Xtreme Couture - Las Vegas, NV",MMA,5,6,334,553,14,,57%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(68%)', 'number': '226'}}, {'name': 'Clinch', 'value': {'percentage': '(8%)', 'number': '27'}}, {'name': 'Suelo', 'value': {'percentage': '(24%)', 'number': '81'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(38%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(15%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(46%)', 'number': '6'}}]}","{'head': {'percentage': '63%', 'value': '212'}, 'body': {'percentage': '25%', 'value': '85'}, 'legs': {'percentage': '11%', 'value': '37'}}"
Farid,Basharat,"""Ferocious""",10-0-0 (W-L-D),25,68.00,152.60,Bantamweight,"Mar. 04, 2023",71.00,38.00,,,MMA,1,5,174,273,10,,60%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(54%)', 'number': '94'}}, {'name': 'Clinch', 'value': {'percentage': '(2%)', 'number': '4'}}, {'name': 'Suelo', 'value': {'percentage': '(44%)', 'number': '76'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(10%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(40%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(50%)', 'number': '5'}}]}","{'head': {'percentage': '68%', 'value': '119'}, 'body': {'percentage': '20%', 'value': '34'}, 'legs': {'percentage': '12%', 'value': '21'}}"
Ron,Bata,"""Wolverine""",0-0-0 (W-L-D),32,,,Heavyweight,"Mar. 07, 2023",,,,,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Bryan,Battle,"""Pooh Bear""",9-2-0 (W-L-D),28,73.00,170.00,Welterweight,"Aug. 28, 2021",77.00,42.50,Estados Unidos,,Freestyle,2,5,168,306,10,2,20%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(86%)', 'number': '144'}}, {'name': 'Clinch', 'value': {'percentage': '(13%)', 'number': '22'}}, {'name': 'Suelo', 'value': {'percentage': '(1%)', 'number': '2'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(22%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(22%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(56%)', 'number': '5'}}]}","{'head': {'percentage': '42%', 'value': '71'}, 'body': {'percentage': '43%', 'value': '72'}, 'legs': {'percentage': '15%', 'value': '25'}}"
Mario,Bautista,,11-2-0 (W-L-D),29,69.00,135.50,Bantamweight,"Jan. 19, 2019",72.00,39.00,"Winnemucca, Estados Unidos",The MMA Lab,Freestyle,3,5,299,596,12,1,67%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(71%)', 'number': '213'}}, {'name': 'Clinch', 'value': {'percentage': '(20%)', 'number': '59'}}, {'name': 'Suelo', 'value': {'percentage': '(9%)', 'number': '27'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(27%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(27%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(45%)', 'number': '5'}}]}","{'head': {'percentage': '64%', 'value': '191'}, 'body': {'percentage': '22%', 'value': '66'}, 'legs': {'percentage': '14%', 'value': '42'}}"
Donavan,Beard,,0-1-0 (W-L-D),33,,184.00,Middleweight,"Mar. 07, 2023",,,"Hot Springs, Estados Unidos",,,0,0,0,1,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Rolando,Bedoya,,0-0-0 (W-L-D),26,,,Welterweight,"Mar. 07, 2023",,,Perú,,,0,0,0,0,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Allan,Begosso,"""Mini""",0-1-0 (W-L-D),27,,135.50,Bantamweight,"Mar. 07, 2023",,,,,,0,0,27,67,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(44%)', 'number': '12'}}, {'name': 'Clinch', 'value': {'percentage': '(7%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(48%)', 'number': '13'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '70%', 'value': '19'}, 'body': {'percentage': '19%', 'value': '5'}, 'legs': {'percentage': '11%', 'value': '3'}}"
Diana,Belbita,"""The Warrior Princess""",14-7-0 (W-L-D),26,67.00,116.00,Women's Strawweight,"Oct. 18, 2019",68.00,38.00,"Drobeta-Turnu Severin, Rumanía",House of Champions,Striker,6,4,307,724,4,1,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(84%)', 'number': '259'}}, {'name': 'Clinch', 'value': {'percentage': '(14%)', 'number': '42'}}, {'name': 'Suelo', 'value': {'percentage': '(2%)', 'number': '6'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(43%)', 'number': '6'}}, {'name': 'DEC', 'value': {'percentage': '(29%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(29%)', 'number': '4'}}]}","{'head': {'percentage': '56%', 'value': '172'}, 'body': {'percentage': '24%', 'value': '75'}, 'legs': {'percentage': '20%', 'value': '60'}}"
Rodolfo,Bellato,,0-1-0 (W-L-D),27,,205.00,Light Heavyweight,"Mar. 07, 2023",,,,,,0,0,18,42,3,,33%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(94%)', 'number': '17'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '78%', 'value': '14'}, 'body': {'percentage': '22%', 'value': '4'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Gabriel,Benitez,"""Moggly""",23-11-0 (W-L-D),34,68.00,155.00,Lightweight,"Nov. 15, 2014",71.00,40.50,"Tijuana, México",AKA (American Kickboxing Academy) San Jose,Striker,9,10,530,1277,4,1,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(87%)', 'number': '459'}}, {'name': 'Clinch', 'value': {'percentage': '(3%)', 'number': '17'}}, {'name': 'Suelo', 'value': {'percentage': '(10%)', 'number': '54'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(39%)', 'number': '9'}}, {'name': 'DEC', 'value': {'percentage': '(17%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(43%)', 'number': '10'}}]}","{'head': {'percentage': '54%', 'value': '284'}, 'body': {'percentage': '26%', 'value': '139'}, 'legs': {'percentage': '20%', 'value': '107'}}"
Kenneth,Bergh,,6-0-0 (W-L-D),33,74.00,0.00,Light Heavyweight,"Mar. 07, 2023",76.00,,,,MMA,0,0,18,24,1,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(6%)', 'number': '1'}}, {'name': 'Clinch', 'value': {'percentage': '(94%)', 'number': '17'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '100%', 'value': '18'}}"
Anton,Berzin,"""The Body Snatcher""",5-2-0 (W-L-D),33,74.00,205.00,Light Heavyweight,"Aug. 22, 2017",,,"Kremenchuk, Ucrania",,,0,0,66,141,7,,29%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(95%)', 'number': '63'}}, {'name': 'Clinch', 'value': {'percentage': '(2%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(3%)', 'number': '2'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(20%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(80%)', 'number': '4'}}]}","{'head': {'percentage': '38%', 'value': '25'}, 'body': {'percentage': '42%', 'value': '28'}, 'legs': {'percentage': '20%', 'value': '13'}}"
Khadzhimurat,Bestaev,,0-1-0 (W-L-D),34,,184.00,Middleweight,"Mar. 07, 2023",,,Rusia,,,0,0,8,27,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(100%)', 'number': '8'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '63%', 'value': '5'}, 'body': {'percentage': '13%', 'value': '1'}, 'legs': {'percentage': '25%', 'value': '2'}}"
Blake,Bilder,"""El Animal""",8-0-1 (W-L-D),32,,146.00,Featherweight,"Feb. 11, 2023",,,Estados Unidos,,,6,4,120,207,7,1,14%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(97%)', 'number': '116'}}, {'name': 'Clinch', 'value': {'percentage': '(3%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(1%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(14%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(29%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(57%)', 'number': '4'}}]}","{'head': {'percentage': '58%', 'value': '69'}, 'body': {'percentage': '11%', 'value': '13'}, 'legs': {'percentage': '32%', 'value': '38'}}"
Jonas,Bilharinho,,1-0-0 (W-L-D),32,71.00,146.00,Featherweight,"Mar. 07, 2023",75.50,39.00,,,,0,0,52,86,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(85%)', 'number': '44'}}, {'name': 'Clinch', 'value': {'percentage': '(15%)', 'number': '8'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '69%', 'value': '36'}, 'body': {'percentage': '27%', 'value': '14'}, 'legs': {'percentage': '4%', 'value': '2'}}"
Xie,Bin,,0-2-0 (W-L-D),24,,145.50,Featherweight,"Jun. 10, 2022",,,"Hunan, China",,,0,0,35,89,11,,45%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(77%)', 'number': '27'}}, {'name': 'Clinch', 'value': {'percentage': '(3%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(20%)', 'number': '7'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '69%', 'value': '24'}, 'body': {'percentage': '29%', 'value': '10'}, 'legs': {'percentage': '3%', 'value': '1'}}"
Chris,Birchler,,7-4-0 (W-L-D),35,75.00,205.00,Light Heavyweight,"Mar. 07, 2023",,,"Livingston, Estados Unidos",,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Caio,Bittencourt,,0-1-0 (W-L-D),31,70.00,186.00,Middleweight,"Mar. 07, 2023",75.00,39.50,,,,0,0,1,6,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(100%)', 'number': '1'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '100%', 'value': '1'}}"
Simon,Biyong,,0-0-0 (W-L-D),31,,,Light Heavyweight,"Mar. 07, 2023",,,,,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Jan,Błachowicz,,29-9-1 (W-L-D),39,74.00,204.50,Light Heavyweight,"Oct. 04, 2014",78.00,44.00,"Cieszyn, Polonia","Ankos MMA - Zapaśniczy 67, Warszawa",MMA,9,9,842,1702,30,12,53%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(76%)', 'number': '638'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '102'}}, {'name': 'Suelo', 'value': {'percentage': '(12%)', 'number': '102'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(31%)', 'number': '9'}}, {'name': 'DEC', 'value': {'percentage': '(38%)', 'number': '11'}}, {'name': 'SUB', 'value': {'percentage': '(31%)', 'number': '9'}}]}","{'head': {'percentage': '62%', 'value': '524'}, 'body': {'percentage': '22%', 'value': '188'}, 'legs': {'percentage': '15%', 'value': '130'}}"
Sherrard,Blackledge,,1-1-0 (W-L-D),29,,155.00,Lightweight,"Mar. 07, 2023",,,"Baltimore, Estados Unidos",,,0,0,111,223,24,,33%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(59%)', 'number': '65'}}, {'name': 'Clinch', 'value': {'percentage': '(35%)', 'number': '39'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '7'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '61%', 'value': '68'}, 'body': {'percentage': '32%', 'value': '36'}, 'legs': {'percentage': '6%', 'value': '7'}}"
Da'Mon,Blackshear,,12-5-1 (W-L-D),28,70.00,149.60,Bantamweight,"Aug. 13, 2022",72.00,40.00,Estados Unidos,Jackson Wink MMA Academy - NM,,1,8,73,186,11,1,18%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(86%)', 'number': '63'}}, {'name': 'Clinch', 'value': {'percentage': '(10%)', 'number': '7'}}, {'name': 'Suelo', 'value': {'percentage': '(4%)', 'number': '3'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(8%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(25%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(67%)', 'number': '8'}}]}","{'head': {'percentage': '45%', 'value': '33'}, 'body': {'percentage': '25%', 'value': '18'}, 'legs': {'percentage': '30%', 'value': '22'}}"
Erin,Blanchfield,"""Cold Blooded""",11-1-0 (W-L-D),23,64.00,125.50,Women's Flyweight,"Sep. 18, 2021",66.00,36.00,Estados Unidos,,Jiu-Jitsu,8,2,290,537,19,10,63%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(60%)', 'number': '175'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '17'}}, {'name': 'Suelo', 'value': {'percentage': '(34%)', 'number': '98'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(18%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(45%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(36%)', 'number': '4'}}]}","{'head': {'percentage': '75%', 'value': '218'}, 'body': {'percentage': '13%', 'value': '38'}, 'legs': {'percentage': '12%', 'value': '34'}}"
Curtis,Blaydes,"""Razor""",17-3-0 (W-L-D),31,76.00,260.00,Heavyweight,"Apr. 10, 2016",80.00,46.00,"Naperville, Estados Unidos",Dutch Style MMA/ UFC Gym Lombard IL,MMA,3,12,544,1063,115,33,54%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(45%)', 'number': '246'}}, {'name': 'Clinch', 'value': {'percentage': '(13%)', 'number': '73'}}, {'name': 'Suelo', 'value': {'percentage': '(41%)', 'number': '225'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(71%)', 'number': '12'}}, {'name': 'DEC', 'value': {'percentage': '(29%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '68%', 'value': '368'}, 'body': {'percentage': '13%', 'value': '68'}, 'legs': {'percentage': '20%', 'value': '108'}}"
Tereza,Bleda,,6-1-0 (W-L-D),21,69.00,125.50,Women's Flyweight,"Nov. 19, 2022",71.00,39.00,"Cheb, Chequia",,Wrestling,2,2,68,136,8,1,25%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(47%)', 'number': '32'}}, {'name': 'Clinch', 'value': {'percentage': '(7%)', 'number': '5'}}, {'name': 'Suelo', 'value': {'percentage': '(46%)', 'number': '31'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(33%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(33%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(33%)', 'number': '2'}}]}","{'head': {'percentage': '71%', 'value': '48'}, 'body': {'percentage': '19%', 'value': '13'}, 'legs': {'percentage': '10%', 'value': '7'}}"
Dashawn,Boatwright,"""Buck, the 400-pound Silverback""",3-2-0 (W-L-D),34,72.00,204.00,Light Heavyweight,"Mar. 07, 2023",76.00,41.00,"Long Island, Estados Unidos",,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Mandy,Böhm,"""Monster""",7-2-0 (W-L-D),33,67.00,125.50,Women's Flyweight,"Sep. 04, 2021",71.00,38.50,"Gelsenkirchen, Alemania","Xtreme Couture - Las Vegas, NV",Kung Fu,2,2,88,201,5,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(75%)', 'number': '66'}}, {'name': 'Clinch', 'value': {'percentage': '(25%)', 'number': '22'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(29%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(43%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(29%)', 'number': '2'}}]}","{'head': {'percentage': '50%', 'value': '44'}, 'body': {'percentage': '30%', 'value': '26'}, 'legs': {'percentage': '20%', 'value': '18'}}"
Gaston,Bolanos,,0-0-0 (W-L-D),30,,,Bantamweight,"Apr. 15, 2023",,,"Lima, Perú",,,0,0,0,0,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
