first_name,last_name,nickname,record,age,height,weight,weight_class,debut,arm_reach,leg_reach,born_town,academy,fighter_style,wins_by_ko,wins_by_first_round_ko,sig_striking_landed,sig_striking_throw,takedowns_attempted,takedowns_landed,takedowns_avg,sig_striking_landed_min,avg_knockdown_fight,striking_defence,knockdown_avg,sig_striking_recieved_min,sub_avg_per_fight,takedown_defence,avg_fight_time,sig_striking_landed_by_pos,wins_by_method,sig_striking_by_target
Nick,Aguirre,"""Slick """,7-1-0 (W-L-D),27,69.00,145.50,Featherweight,"Jan. 14, 2023",74.00,40.00,"Cicero, Estados Unidos",,Freestyle,3,4,14,44,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(93%)', 'number': '13'}}, {'name': 'Clinch', 'value': {'percentage': '(7%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(43%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(57%)', 'number': '4'}}]}","{'head': {'percentage': '100%', 'value': '14'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Ashiek,Ajim,,0-1-0 (W-L-D),28,,135.50,Bantamweight,"Mar. 07, 2023",,,,,,0,0,4,10,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(100%)', 'number': '4'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '50%', 'value': '2'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '50%', 'value': '2'}}"
Herdem,Alacabek,,0-0-0 (W-L-D),31,74.00,205.00,Light Heavyweight,"Mar. 07, 2023",74.50,41.00,,,,0,0,56,85,4,,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(43%)', 'number': '24'}}, {'name': 'Clinch', 'value': {'percentage': '(46%)', 'number': '26'}}, {'name': 'Suelo', 'value': {'percentage': '(11%)', 'number': '6'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '45%', 'value': '25'}, 'body': {'percentage': '41%', 'value': '23'}, 'legs': {'percentage': '14%', 'value': '8'}}"
Alatengheili,,"""The Mongolian Knight""",16-8-1 (W-L-D),31,65.00,135.00,Bantamweight,"Aug. 31, 2019",66.50,35.00,"Alxa, China","Fight Ready - Scottsdale, AZ",,5,3,223,657,23,3,39%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(95%)', 'number': '212'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(4%)', 'number': '10'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(33%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(47%)', 'number': '7'}}, {'name': 'SUB', 'value': {'percentage': '(20%)', 'number': '3'}}]}","{'head': {'percentage': '67%', 'value': '150'}, 'body': {'percentage': '17%', 'value': '39'}, 'legs': {'percentage': '15%', 'value': '34'}}"
Amir,Albazi,"""The Prince""",16-1-0 (W-L-D),29,65.00,125.50,Flyweight,"Jul. 18, 2020",68.00,38.00,"Baghdad, Irak","Xtreme Couture - Las Vegas, NV",Jiu-Jitsu,5,9,129,296,12,3,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(78%)', 'number': '100'}}, {'name': 'Clinch', 'value': {'percentage': '(2%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(21%)', 'number': '27'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(31%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(13%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(56%)', 'number': '9'}}]}","{'head': {'percentage': '63%', 'value': '81'}, 'body': {'percentage': '22%', 'value': '28'}, 'legs': {'percentage': '16%', 'value': '20'}}"
Irene,Aldana,,14-6-0 (W-L-D),34,69.00,137.50,Women's Bantamweight,"Dec. 18, 2016",68.50,38.50,"Culiacán, México",,Striker,8,3,810,2033,4,2,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(86%)', 'number': '700'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '50'}}, {'name': 'Suelo', 'value': {'percentage': '(7%)', 'number': '60'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(57%)', 'number': '8'}}, {'name': 'DEC', 'value': {'percentage': '(21%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(21%)', 'number': '3'}}]}","{'head': {'percentage': '68%', 'value': '549'}, 'body': {'percentage': '14%', 'value': '110'}, 'legs': {'percentage': '19%', 'value': '151'}}"
Jose,Alday,,0-1-0 (W-L-D),31,67.00,136.00,Bantamweight,"Mar. 07, 2023",68.00,38.00,"Nacozari de García, México",,,0,0,47,106,1,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(94%)', 'number': '44'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '45%', 'value': '21'}, 'body': {'percentage': '40%', 'value': '19'}, 'legs': {'percentage': '15%', 'value': '7'}}"
JJ,Aldrich,,11-5-0 (W-L-D),30,65.00,125.00,Women's Flyweight,"Dec. 10, 2016",67.50,37.00,"Denver, Estados Unidos","Elevation Fight Team - Denver, CO",Striker,2,2,610,1351,24,1,38%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(81%)', 'number': '496'}}, {'name': 'Clinch', 'value': {'percentage': '(13%)', 'number': '77'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '37'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(18%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(82%)', 'number': '9'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '81%', 'value': '495'}, 'body': {'percentage': '13%', 'value': '81'}, 'legs': {'percentage': '6%', 'value': '34'}}"
Irina,Alekseeva,,0-0-0 (W-L-D),32,,,Women's Bantamweight,"Mar. 07, 2023",,,Kazajistán,,,0,0,0,0,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Lucas,Alexander,"""The Lion """,7-3-0 (W-L-D),27,71.00,145.50,Featherweight,"Oct. 15, 2022",73.00,41.00,Brasil,,Striker,3,3,1,2,2,1,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(100%)', 'number': '1'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(43%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(57%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '100%', 'value': '1'}}"
Marcio,Alexandre,"""Lyoto""",13-3-0 (W-L-D),33,73.00,186.00,Middleweight,"May. 31, 2014",75.00,,"Florianopolis, Brasil",Black House MMA,,0,0,68,151,5,1,20%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(75%)', 'number': '51'}}, {'name': 'Clinch', 'value': {'percentage': '(13%)', 'number': '9'}}, {'name': 'Suelo', 'value': {'percentage': '(12%)', 'number': '8'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(77%)', 'number': '10'}}, {'name': 'DEC', 'value': {'percentage': '(8%)', 'number': '1'}}, {'name': 'SUB', 'value': {'percentage': '(15%)', 'number': '2'}}]}","{'head': {'percentage': '53%', 'value': '36'}, 'body': {'percentage': '38%', 'value': '26'}, 'legs': {'percentage': '9%', 'value': '6'}}"
Bill,Algeo,"""Senor Perfecto""",16-7-0 (W-L-D),33,72.00,146.00,Featherweight,"Aug. 29, 2020",73.00,40.00,"Boothwyn, Estados Unidos",,MMA,4,6,550,1033,13,4,38%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(78%)', 'number': '428'}}, {'name': 'Clinch', 'value': {'percentage': '(13%)', 'number': '71'}}, {'name': 'Suelo', 'value': {'percentage': '(9%)', 'number': '51'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(25%)', 'number': '4'}}, {'name': 'DEC', 'value': {'percentage': '(38%)', 'number': '6'}}, {'name': 'SUB', 'value': {'percentage': '(38%)', 'number': '6'}}]}","{'head': {'percentage': '62%', 'value': '342'}, 'body': {'percentage': '23%', 'value': '126'}, 'legs': {'percentage': '15%', 'value': '82'}}"
