first_name,last_name,nickname,weight_class,record,uri
Gabriel,Bonfim,"""Marretinha""",Welterweight,14-0-0 (W-L-D),/athlete/gabriel-bonfim
Ismael,Bonfim,"""Marreta""",Lightweight,19-3-0 (W-L-D),/athlete/ismael-bonfim
Caio,Borralho,"""The Natural""",Middleweight,13-1-0 (W-L-D),/athlete/mario-souza-3
Zach,Borrego,,Middleweight,0-1-0 (W-L-D),/athlete/zach-borrego
Viacheslav,Borshchev,"""Slava Claus""",Lightweight,6-3-0 (W-L-D),/athlete/viacheslav-borshchev
Tanner,Boser,"""The Bulldozer""",Heavyweight,20-9-1 (W-L-D),/athlete/tanner-boser
Kyron,Bowen,,Middleweight,0-1-0 (W-L-D),/athlete/kyron-bowen
Anvar,Boynazarov,,Featherweight,0-1-0 (W-L-D),/athlete/anvar-boynazarov
Sean,Brady,,Welterweight,15-1-0 (W-L-D),/athlete/sean-brady
Ramiz,Brahimaj,,Welterweight,10-4-0 (W-L-D),/athlete/ramiz-brahimaj
Bruna,Brasil,,Women's Strawweight,8-2-1 (W-L-D),/athlete/bruna-brasil
Mike,Breeden,"""Money""",Lightweight,10-5-0 (W-L-D),/athlete/aleks-oliveyra-0
Elves,Brener,,Lightweight,14-3-0 (W-L-D),/athlete/elves-brener
Marcos,Brigagao,,Light Heavyweight,0-0-0 (W-L-D),/athlete/marcos-brigagao
Joanderson,Brito,"""Tubarao""",Featherweight,14-3-1 (W-L-D),/athlete/kori-makkenna-3
TJ,Brown,"""Downtown""",Featherweight,17-9-0 (W-L-D),/athlete/tj-brown
Randy,Brown,"""Rudeboy""",Welterweight,16-5-0 (W-L-D),/athlete/randy-brown
Matt,Brown,"""The Immortal""",Welterweight,25-19-0 (W-L-D),/athlete/matt-brown
Travis,Browne,"""Hapa""",Heavyweight,18-7-1 (W-L-D),/athlete/travis-browne
Cody,Brundage,,Middleweight,8-3-0 (W-L-D),/athlete/dzhonatan-pirs-1
Derek,Brunson,"""The 1""",Middleweight,23-9-0 (W-L-D),/athlete/derek-brunson
Dennis,Bryant,"""The Beard""",Light Heavyweight,5-2-0 (W-L-D),/athlete/dennis-bryant
Lukasz,Brzeski,"""The Bull""",Heavyweight,8-2-1 (W-L-D),/athlete/kori-makkenna-5
Joaquin,Buckley,"""New Mansa""",Middleweight,15-6-0 (W-L-D),/athlete/joaquin-buckley
Martin,Buday,"""Badys""",Heavyweight,3-0-0 (W-L-D),/athlete/mariya-agapova-2
Modestas,Bukauskas,"""The Baltic Gladiator""",Light Heavyweight,14-5-0 (W-L-D),/athlete/modestas-bukauskas
Wuliji,Buren,"""Beast Master""",Bantamweight,10-8-0 (W-L-D),/athlete/wuliji-buren
Justin,Burlinson,,Welterweight,0-1-0 (W-L-D),/athlete/dzhastin-byorlinson
Herbert,Burns,"""The Blaze""",Featherweight,11-4-0 (W-L-D),/athlete/herbert-burns
Gilbert,Burns,"""Durinho""",Welterweight,21-5-0 (W-L-D),/athlete/gilbert-burns
JP,Buys,"""Young Savage""",Flyweight,9-5-0 (W-L-D),/athlete/jp-buys
Dennis,Buzukja,,Featherweight,1-1-0 (W-L-D),/athlete/dennis-buzukja
Alex,Caceres,"""Bruce Leeroy""",Featherweight,20-13-0 (W-L-D),/athlete/alex-caceres
Priscila,Cachoeira,"""Zombie Girl""",Women's Bantamweight,12-4-0 (W-L-D),/athlete/priscila-cachoeira
Ricky,Calatayud,,Flyweight,0-0-0 (W-L-D),/athlete/ricky-calatayud
Taylor,Callens,,Lightweight,0-0-0 (W-L-D),/athlete/taylor-callens
Cynthia,Calvillo,,Women's Flyweight,9-5-1 (W-L-D),/athlete/cynthia-calvillo
Ricky,Camp,,Bantamweight,0-0-0 (W-L-D),/athlete/ricky-camp
Charlie,Campbell,,Lightweight,0-1-0 (W-L-D),/athlete/charlie-campbell
Aleksa,Camur,,Light Heavyweight,6-2-0 (W-L-D),/athlete/aleksa-camur
Carlos,Candelario,"""The Cannon""",Flyweight,8-3-0 (W-L-D),/athlete/carlos-candelario
Ronaldo,Candido,"""Pacman""",Flyweight,5-2-0 (W-L-D),/athlete/ronaldo-candido
Guido,Cannetti,"""Ninja""",Bantamweight,10-7-0 (W-L-D),/athlete/guido-cannetti
Jared,Cannonier,"""Tha Killa Gorilla""",Middleweight,16-6-0 (W-L-D),/athlete/jared-cannonier
Paul,Capaldo,,Bantamweight,0-0-0 (W-L-D),/athlete/paul-capaldo
Phil,Caracappa,,Bantamweight,0-0-0 (W-L-D),/athlete/phil-caracappa
Ariane,Carnelossi,"""Sorriso""",Women's Strawweight,14-3-0 (W-L-D),/athlete/ariane-carnelossi
Luana,Carolina,"""Dread""",Women's Flyweight,8-3-0 (W-L-D),/athlete/luana-carolina
Tim,Caron,"""The Bear""",Middleweight,9-2-0 (W-L-D),/athlete/tim-caron
Clayton,Carpenter,,Flyweight,7-0-0 (W-L-D),/athlete/clayton-carpenter
Jack,Cartwright,,Bantamweight,0-1-0 (W-L-D),/athlete/jack-cartwright
Cortney,Casey,"""Cast Iron""",Women's Flyweight,10-10-0 (W-L-D),/athlete/cortney-casey
John,Castaneda,"""Sexi Mexi""",Bantamweight,19-6-0 (W-L-D),/athlete/john-castaneda
Vernon,Cathey,"""The Mechanic""",Light Heavyweight,0-0-0 (W-L-D),/athlete/vernon-cathey
Vinicius,Cenci,,Lightweight,0-1-0 (W-L-D),/athlete/vinicius-cenci
Edgar,Chairez,,Flyweight,0-1-0 (W-L-D),/athlete/edgar-chairez
Michael,Chandler,"""Iron""",Lightweight,23-8-0 (W-L-D),/athlete/michael-chandler
Chelsea,Chandler,,Women's Bantamweight,5-1-0 (W-L-D),/athlete/chelsea-chandler
Gabriel,Checco,"""Zangief""",Middleweight,10-2-0 (W-L-D),/athlete/gabriel-checco
Mark,Cherico,"""The Pride of Bloomfield""",Featherweight,11-2-0 (W-L-D),/athlete/mark-cherico
Macy,Chiasson,,Women's Featherweight,9-3-0 (W-L-D),/athlete/macy-chiasson
Michael,Chiesa,"""Maverick""",Welterweight,18-6-0 (W-L-D),/athlete/michael-chiesa
Giga,Chikadze,"""Ninja""",Featherweight,14-3-0 (W-L-D),/athlete/giga-chikadze
Khamzat,Chimaev,"""Borz""",Welterweight,12-0-0 (W-L-D),/athlete/khamzat-chimaev
Seungwoo,Choi,"""Sting""",Featherweight,10-6-0 (W-L-D),/athlete/seung-woo-choi
SeungGuk,Choi,,Flyweight,6-2-0 (W-L-D),/athlete/seungguk-choi
Dooho,Choi,"""The Korean Superboy""",Featherweight,14-4-1 (W-L-D),/athlete/dooho-choi
Katlyn,Chookagian,"""Blonde Fighter""",Women's Flyweight,18-5-0 (W-L-D),/athlete/katlyn-chookagian
Cameron,Church,,Lightweight,0-1-0 (W-L-D),/athlete/cameron-church
Devin,Clark,"""Brown Bear""",Light Heavyweight,14-7-0 (W-L-D),/athlete/devin-clark
Jessica-Rose,Clark,,Women's Bantamweight,11-8-0 (W-L-D),/athlete/jessica-rose-clark
Jamie,Colleen,,Women's Strawweight,4-2-0 (W-L-D),/athlete/jamie-colleen
Jake,Collier,"""The Prototype""",Heavyweight,13-8-0 (W-L-D),/athlete/jake-collier
Marcos,Conrado,,Heavyweight,0-0-0 (W-L-D),/athlete/marcos-conrado-junior
Michael,Cora,,Welterweight,4-2-0 (W-L-D),/athlete/michael-cora
Waldo,Cortes,"""Salsa Boy """,Heavyweight,9-0-0 (W-L-D),/athlete/waldo-cortes-acosta
Reyes,Cortez,,Bantamweight,0-1-0 (W-L-D),/athlete/mariya-agapova-4
Tracy,Cortez,,Women's Flyweight,10-1-0 (W-L-D),/athlete/tracy-cortez
Orion,Cosce,"""Galaxy""",Welterweight,8-1-0 (W-L-D),/athlete/orion-cosce
Alessandro,Costa,"""Nono """,Flyweight,12-3-0 (W-L-D),/athlete/alessandro-costa
Melquizael,Costa,"""Melk Cauthy""",Lightweight,19-6-0 (W-L-D),/athlete/melquizael-costa
Paulo,Costa,"""The Eraser""",Middleweight,14-2-0 (W-L-D),/athlete/paulo-costa
Oscar,Cota,"""Elevation""",Heavyweight,10-2-0 (W-L-D),/athlete/oscar-cota
JR,Coughran,,Featherweight,4-1-0 (W-L-D),/athlete/jr-coughran-0
Colby,Covington,"""Chaos""",Welterweight,17-3-0 (W-L-D),/athlete/colby-covington
Hailey,Cowan,"""All Hail """,Women's Bantamweight,7-2-0 (W-L-D),/athlete/hailey-cowan
Paul,Craig,"""BearJew""",Light Heavyweight,16-6-1 (W-L-D),/athlete/paul-craig
Duane,Crespo,"""Iron Giant""",Heavyweight,0-0-0 (W-L-D),/athlete/duane-crespo
Kenneth,Cross,,Lightweight,11-3-0 (W-L-D),/athlete/kenneth-cross
Jimmy,Crute,,Light Heavyweight,12-3-1 (W-L-D),/athlete/jim-crute
Dominick,Cruz,"""The Dominator""",Bantamweight,24-4-0 (W-L-D),/athlete/dominick-cruz
Emilio,Cuellar,,Flyweight,0-0-0 (W-L-D),/athlete/emilio-cuellar
Josh,Culibao,"""Kuya""",Featherweight,11-1-1 (W-L-D),/athlete/josh-culibao
Zak,Cummings,,Middleweight,24-7-0 (W-L-D),/athlete/zak-cummings
Hugo,Cunha,,Heavyweight,0-0-0 (W-L-D),/athlete/lyudovit-klayn-3
Alton,Cunningham,"""The Bo-Man""",Light Heavyweight,7-2-0 (W-L-D),/athlete/alton-cunningham
Santo,Curatolo,,Flyweight,0-1-0 (W-L-D),/athlete/santo-curatolo
Chris,Curtis,"""Action-Man""",Middleweight,30-9-0 (W-L-D),/athlete/chris-curtis
Ion,Cutelaba,"""The Hulk""",Light Heavyweight,16-9-1 (W-L-D),/athlete/ion-cutelaba
Gleidson,Cutis,"""Poney""",Lightweight,0-0-0 (W-L-D),/athlete/andre-evell-0
Daniel,da,"""Miojo""",Flyweight,11-4-0 (W-L-D),/athlete/daniel-da-silva
Diego,Henrique,"""Gaucho""",Middleweight,0-0-0 (W-L-D),/athlete/diego-henrique-da-silva
Henrique,da,"""Frankenstein""",Light Heavyweight,12-4-0 (W-L-D),/athlete/henrique-da-silva
Henrique,Da,,Heavyweight,0-0-0 (W-L-D),/athlete/henrique-da-silva-lopes
Dayana,da,,Women's Bantamweight,0-0-0 (W-L-D),/athlete/dayana-da-silva-santos
Nicolas,Dalby,"""Danish Dynamite""",Welterweight,21-4-1 (W-L-D),/athlete/nicolas-dalby
Leonardo,Damiani,,Welterweight,0-1-0 (W-L-D),/athlete/kori-makkenna-1
Batgerel,Danaa,"""Storm""",Bantamweight,12-4-0 (W-L-D),/athlete/danaa-batgerel
Jarjis,Danho,"""Man Mountain""",Heavyweight,7-1-1 (W-L-D),/athlete/jarjis-danho
Beneil,Dariush,,Lightweight,22-4-1 (W-L-D),/athlete/beneil-dariush
Chris,Daukaus,,Heavyweight,12-6-0 (W-L-D),/athlete/chris-daukaus
John,Davis,"""The Machine""",Middleweight,0-0-0 (W-L-D),/athlete/john-davis
Mike,Davis,"""Beast Boy""",Lightweight,10-2-0 (W-L-D),/athlete/mike-davis
Hakeem,Dawodu,"""Mean""",Featherweight,13-3-1 (W-L-D),/athlete/hakeem-dawodu
Grant,Dawson,"""KGD""",Lightweight,19-1-1 (W-L-D),/athlete/grant-dawson
Angel,De,"""The Dream""",Light Heavyweight,18-6-0 (W-L-D),/athlete/angel-de-anda
Rafael,de,"""Barata (Cockroach)""",Flyweight,0-0-0 (W-L-D),/athlete/rafael-de-freitas
Montana,De,,Women's Flyweight,12-8-1 (W-L-D),/athlete/montana-de-la-rosa
Marcos,Rogerio,"""Pezao""",Heavyweight,20-9-1 (W-L-D),/athlete/marcos-rogerio-de-lima
Leonardo,De,,Middleweight,0-0-0 (W-L-D),/athlete/leonardo-de-oliveira
Germaine,de,"""The Iron Lady""",Women's Bantamweight,10-4-0 (W-L-D),/athlete/germaine-de-randamie
Carl,Deaton,"""The Anishinaabe Kid""",Lightweight,17-6-0 (W-L-D),/athlete/carl-deaton
Wallen,Del,,Flyweight,0-1-0 (W-L-D),/athlete/wallen-del-rosario
Jack,Della,,Welterweight,14-2-0 (W-L-D),/athlete/sara-elpar-0
Vanessa,Demopoulos,"""Lil Monster""",Women's Strawweight,9-4-0 (W-L-D),/athlete/vanessa-demopulos
Mackenzie,Dern,,Women's Strawweight,12-3-0 (W-L-D),/athlete/mackenzie-dern
Micol,Di,,Women's Strawweight,0-0-0 (W-L-D),/athlete/micol-di-segni
Marc,Diakiese,"""Bonecrusher""",Lightweight,16-6-0 (W-L-D),/athlete/marc-diakiese
Mike,Diamond,"""Blood""",Welterweight,3-2-0 (W-L-D),/athlete/blud-daymond
Adrian,Diaz,,Featherweight,11-5-1 (W-L-D),/athlete/adrian-diaz
Ozzy,Diaz,,Middleweight,0-1-0 (W-L-D),/athlete/ozzy-diaz
Nick,Diaz,,Middleweight,26-11-0 (W-L-D),/athlete/nick-diaz
Damien,Dibbell,"""The Bell""",Heavyweight,0-0-0 (W-L-D),/athlete/damien-dibbell
Rico,DiSciullo,,Bantamweight,9-3-0 (W-L-D),/athlete/rico-disciullo
Matt,Dixon,,Welterweight,9-1-0 (W-L-D),/athlete/matt-dixon
Drew,Dober,,Lightweight,26-11-0 (W-L-D),/athlete/drew-dober
AJ,Dobson,,Middleweight,6-2-0 (W-L-D),/athlete/manon-firot-2
Roman,Dolidze,,Middleweight,12-1-0 (W-L-D),/athlete/roman-dolidze
Rafael,Dos,,Welterweight,32-14-0 (W-L-D),/athlete/rafael-dos-anjos
Acacio,dos,,Light Heavyweight,0-1-0 (W-L-D),/athlete/acacio-dos-santos
Maiara,Amajanas,,Women's Strawweight,0-0-0 (W-L-D),/athlete/maiara-amajanas-dos-santos
Elizeu,dos,"""Capoeira""",Welterweight,23-7-0 (W-L-D),/athlete/elizeu-dos-santos
Wesley,Drain,"""All the Smoke""",Middleweight,0-0-0 (W-L-D),/athlete/wesley-drain
Kyle,Driscoll,,Featherweight,12-3-0 (W-L-D),/athlete/kyle-driscoll
Dricus,Du,"""Stillknocks""",Middleweight,19-2-0 (W-L-D),/athlete/dricus-du-plessis
Emily,Ducote,"""Gordinha""",Women's Strawweight,12-7-0 (W-L-D),/athlete/emily-ducote
Viktoriia,Dudakova,,Women's Strawweight,6-0-0 (W-L-D),/athlete/victoria-dudakova
Isaac,Dulgarian,"""The Midwest Choppa""",Featherweight,5-0-0 (W-L-D),/athlete/isaac-dulgarian
Sedriques,Dumas,,Middleweight,7-0-0 (W-L-D),/athlete/sedriques-dumas
Norma,Dumont,"""The Imortal""",Women's Featherweight,8-2-0 (W-L-D),/athlete/norma-dumont
Chris,Duncan,"""The Problem""",Lightweight,9-1-0 (W-L-D),/athlete/lyudovit-klayn-4
Christian,Leroy,,Middleweight,0-0-0 (W-L-D),/athlete/christian-leroy-duncan
Albert,Duraev,,Middleweight,15-4-0 (W-L-D),/athlete/kori-makkenna-8
Cody,Durden,,Flyweight,14-4-1 (W-L-D),/athlete/cody-durden
Riley,Dutro,"""The Perfect Storm""",Flyweight,14-4-0 (W-L-D),/athlete/riley-dutro
Merab,Dvalishvili,"""The Machine""",Bantamweight,15-4-0 (W-L-D),/athlete/merab-dvalishvili
David,Dvorak,"""Undertaker""",Flyweight,20-5-0 (W-L-D),/athlete/david-dvorak
Roybert,Echeverria,"""The Unbroken""",Flyweight,0-1-0 (W-L-D),/athlete/roy-echeverria
Adli,Edwards,,Featherweight,0-0-0 (W-L-D),/athlete/adli-edwards
Joselyne,Edwards,"""La Pantera""",Women's Bantamweight,12-4-0 (W-L-D),/athlete/joselyne-edwards
Leon,Edwards,"""Rocky""",Welterweight,20-3-0 (W-L-D),/athlete/leon-edwards
Stephanie,Egger,,Women's Featherweight,8-3-0 (W-L-D),/athlete/stephanie-egger
Evan,Elder,"""The Phenom """,Lightweight,7-2-0 (W-L-D),/athlete/evan-elder
Joao,Elias,,Flyweight,0-1-0 (W-L-D),/athlete/joao-elias
Darren,Elkins,"""The Damage""",Featherweight,27-11-0 (W-L-D),/athlete/darren-elkins
Tim,Elliott,,Flyweight,19-12-1 (W-L-D),/athlete/tim-elliott
Sovannahry,Em,,Women's Bantamweight,0-0-0 (W-L-D),/athlete/sovannahry-em
Freddy,Emiliano,,Featherweight,0-1-0 (W-L-D),/athlete/freddy-emiliano-linares
Jamall,Emmers,"""Pretty Boy""",Featherweight,19-6-0 (W-L-D),/athlete/jamall-emmers
Josh,Emmett,"""CC0 (C-C-OH)""",Featherweight,18-3-0 (W-L-D),/athlete/josh-emmett
Kolton,Englund,,Lightweight,0-1-0 (W-L-D),/athlete/trevin-dzhayls-7
Stephen,Erceg,,Flyweight,0-0-0 (W-L-D),/athlete/stephen-erczeg
Julian,Erosa,"""Juicy J""",Featherweight,28-11-0 (W-L-D),/athlete/julian-erosa
Jarno,Errens,,Featherweight,13-4-1 (W-L-D),/athlete/jarno-errens
Carla,Esparza,"""Cookie Monster""",Women's Strawweight,20-7-0 (W-L-D),/athlete/carla-esparza
Juan,Espino,"""El Guapo""",Heavyweight,11-2-0 (W-L-D),/athlete/juan-espino
Rafael,Estevam,,Flyweight,1-0-0 (W-L-D),/athlete/rafael-estevam
Achilles,Estremadura,,Lightweight,0-1-0 (W-L-D),/athlete/nassurdin-imavov-0
Shaun,Etchell,,Flyweight,0-1-0 (W-L-D),/athlete/shaun-etchell
Ashlee,Evans-Smith,"""Rebel Girl""",Women's Bantamweight,6-5-0 (W-L-D),/athlete/ashlee-evans-smith
Movsar,Evloev,,Featherweight,16-0-0 (W-L-D),/athlete/movsar-evloev
Urijah,Faber,"""The California Kid""",Bantamweight,35-11-0 (W-L-D),/athlete/urijah-faber
Zarah,Fairn,"""Infinite""",Women's Featherweight,6-5-0 (W-L-D),/athlete/zarah-fairn
Rinat,Fakhretdinov,"""Gladiator """,Welterweight,20-1-0 (W-L-D),/athlete/lyudovit-klayn-0
Pedro,Falcao,"""Pedrinho""",Bantamweight,1-0-0 (W-L-D),/athlete/norma-dyumont-viana-2
Rico,Farrington,,Welterweight,0-0-0 (W-L-D),/athlete/rico-farrington
Tony,Ferguson,"""El Cucuy""",Welterweight,26-8-0 (W-L-D),/athlete/tony-ferguson
Gabriella,Fernandes,"""Gabi""",Women's Flyweight,8-2-0 (W-L-D),/athlete/gabriella-fernandes
Erisson,Ferreira,,Flyweight,1-1-0 (W-L-D),/athlete/filipe-lins-2
Brunno,Ferreira,,Middleweight,10-0-0 (W-L-D),/athlete/brunno-ferreira
Diego,Ferreira,,Lightweight,17-5-0 (W-L-D),/athlete/diego-ferreira
Andre,Fialho,,Welterweight,16-6-0 (W-L-D),/athlete/andre-fialho
Michal,Figlak,"""Mad Dog """,Lightweight,8-1-0 (W-L-D),/athlete/michal-figlak
Deiveson,Figueiredo,"""Deus da Guerra""",Flyweight,21-3-1 (W-L-D),/athlete/deiveson-figueiredo
Jafel,Filho,,Flyweight,14-2-0 (W-L-D),/athlete/jafel-filho
Andre,Fili,"""Touchy""",Featherweight,22-9-0 (W-L-D),/athlete/andre-fili
Nick,Fiore,,Lightweight,6-1-0 (W-L-D),/athlete/nick-fiore
Manon,Fiorot,"""The Beast""",Women's Flyweight,10-1-0 (W-L-D),/athlete/manon-fiorot
Rafael,Fiziev,"""Ataman""",Lightweight,12-1-0 (W-L-D),/athlete/rafael-fiziev
AJ,Fletcher,"""The Ghost""",Welterweight,10-2-0 (W-L-D),/athlete/kori-makkenna-2
Jimmy,Flick,"""The Brick""",Flyweight,16-6-0 (W-L-D),/athlete/jimmy-flick
Luke,Flores,,Lightweight,7-2-0 (W-L-D),/athlete/luke-flores
Ty,Flores,,Light Heavyweight,0-1-0 (W-L-D),/athlete/ty-flores
Alejandro,Flores,,Featherweight,0-1-0 (W-L-D),/athlete/alejandro-flores
Darrius,Flowers,"""Beastmode""",Welterweight,12-5-1 (W-L-D),/athlete/darrius-flowers
Rob,Font,,Bantamweight,19-6-0 (W-L-D),/athlete/rob-font
Brianna,Fortino,"""The Bull""",Women's Strawweight,9-3-0 (W-L-D),/athlete/brianna-van-buren
Kai,Kara-France,"""Don't Blink""",Flyweight,24-10-0 (W-L-D),/athlete/kai-kara-france
Stephanie,Frausto,,Women's Strawweight,0-1-0 (W-L-D),/athlete/stephanie-frausto
Donavon,Frelow,,Bantamweight,6-3-0 (W-L-D),/athlete/donavon-frelow
Josh,Fremd,,Middleweight,9-5-0 (W-L-D),/athlete/josh-fremd
Matt,Frevola,"""The SteamRolla""",Lightweight,10-3-1 (W-L-D),/athlete/matt-frevola
Jinh,Yu,,Women's Strawweight,11-8-0 (W-L-D),/athlete/jinh-yu-frey
Waylon,Frost,"""Ice Cold""",Welterweight,0-0-0 (W-L-D),/athlete/waylon-frost
Adam,Fugitt,,Welterweight,9-3-0 (W-L-D),/athlete/adam-fugitt
Gustavo,Gabriel,,Flyweight,0-0-0 (W-L-D),/athlete/gustavo-gabriel
Justin,Gaethje,"""The Highlight""",Lightweight,24-4-0 (W-L-D),/athlete/justin-gaethje
Daniel,Gallemore,,Heavyweight,0-0-0 (W-L-D),/athlete/daniel-gallemore
Mateusz,Gamrot,"""Gamer""",Lightweight,22-2-0 (W-L-D),/athlete/mateusz-gamrot
Ciryl,Gane,"""Bon Gamin""",Heavyweight,11-2-0 (W-L-D),/athlete/ciryl-gane
Cody,Garbrandt,"""No Love""",Bantamweight,13-5-0 (W-L-D),/athlete/cody-garbrandt
Steve,Garcia,"""Mean Machine""",Featherweight,13-5-0 (W-L-D),/athlete/steve-garcia
Rafa,Garcia,"""Gifted""",Lightweight,15-3-0 (W-L-D),/athlete/rafa-garcia
Fernie,Garcia,,Bantamweight,10-3-0 (W-L-D),/athlete/liana-dzhodzhua-2
Jesus,Gaspar,,Welterweight,0-0-0 (W-L-D),/athlete/jesus-gaspar-diaz
Kelvin,Gastelum,,Middleweight,17-8-0 (W-L-D),/athlete/kelvin-gastelum
Melissa,Gatto,,Women's Flyweight,8-1-2 (W-L-D),/athlete/melissa-gatto
Manuel,Gaxhja,,Lightweight,0-0-0 (W-L-D),/athlete/manuel-gatzha
Christos,Giagos,"""The Spartan""",Lightweight,19-10-0 (W-L-D),/athlete/christos-giagos
Chase,Gibson,,Lightweight,0-1-0 (W-L-D),/athlete/chase-gibson
Trevin,Giles,,Welterweight,15-4-0 (W-L-D),/athlete/trevin-giles
Gregor,Gillespie,"""The Gift""",Lightweight,14-1-0 (W-L-D),/athlete/gregor-gillespie
Alex,Gilpin,,Featherweight,10-1-0 (W-L-D),/athlete/aleks-munoz-0
Ricky,Glenn,"""The Gladiator""",Lightweight,22-6-2 (W-L-D),/athlete/ricky-glenn
Loopy,Godinez,,Women's Strawweight,8-3-0 (W-L-D),/athlete/loopy-godinez
Billy,Goff,,Welterweight,8-2-0 (W-L-D),/athlete/billy-goff
Amiran,Gogoladze,,Welterweight,0-1-0 (W-L-D),/athlete/amiran-gogoladze
Hannah,Goldy,"""24K""",Women's Flyweight,6-3-0 (W-L-D),/athlete/hannah-goldy
Denise,Gomes,"""Dee""",Women's Strawweight,6-2-0 (W-L-D),/athlete/denise-gomes
Edson,Gomez,,Welterweight,0-1-0 (W-L-D),/athlete/edson-gomez
Joey,Gomez,,Lightweight,7-0-0 (W-L-D),/athlete/joey-gomez-0
Luis,Gomez,"""Tiger Junior""",Featherweight,4-1-0 (W-L-D),/athlete/luis-gomez
William,Gomis,"""Jaguar""",Featherweight,11-2-0 (W-L-D),/athlete/william-gomis
Justin,Gonzales,"""J-Train""",Featherweight,9-0-0 (W-L-D),/athlete/justin-gonzales
Mikey,Gonzalez,,Lightweight,0-1-0 (W-L-D),/athlete/mikey-gonzalez
Erick,Gonzalez,"""The Ghost Pepper""",Lightweight,14-8-0 (W-L-D),/athlete/mariya-agapova-1
Lyman,Good,"""Cyborg""",Welterweight,21-6-0 (W-L-D),/athlete/lyman-good
Malcolm,Gordon,"""X""",Flyweight,14-6-0 (W-L-D),/athlete/malcolm-gordon
Tebaris,Gordon,"""Boom""",Heavyweight,3-1-0 (W-L-D),/athlete/tebaris-gordon
Jared,Gordon,"""Flash""",Lightweight,19-6-0 (W-L-D),/athlete/jared-gordon
Tresean,Gore,"""Mr. Vicious""",Middleweight,5-2-0 (W-L-D),/athlete/tresean-gore
Themba,Gorimbo,"""The Answer """,Welterweight,10-4-0 (W-L-D),/athlete/themba-gorimbo
Kron,Gracie,,Featherweight,5-1-0 (W-L-D),/athlete/kron-gracie
Davey,Grant,"""Dangerous""",Bantamweight,14-6-0 (W-L-D),/athlete/davey-grant
Alexa,Grasso,,Women's Flyweight,16-3-0 (W-L-D),/athlete/alexa-grasso
Tony,Gravely,,Bantamweight,23-8-0 (W-L-D),/athlete/tony-gravely
Shelton,Graves,"""“The Gravedigger”""",Heavyweight,7-3-0 (W-L-D),/athlete/shelton-graves
James,Gray,"""The Phenom""",Bantamweight,4-2-0 (W-L-D),/athlete/james-gray
Kevin,Gray,"""Pocket Herc""",Flyweight,9-4-0 (W-L-D),/athlete/kevin-gray
Gabriel,Green,"""Gifted""",Welterweight,11-4-0 (W-L-D),/athlete/gabriel-green
Bobby,Green,"""King""",Lightweight,29-14-1 (W-L-D),/athlete/bobby-green
Max,Griffin,"""Pain""",Welterweight,19-9-0 (W-L-D),/athlete/max-griffin
Maxim,Grishin,"""Maximus""",Heavyweight,32-9-2 (W-L-D),/athlete/maxim-grishin
Garrett,Gross,"""Glory to God""",Lightweight,11-8-0 (W-L-D),/athlete/garrett-gross
Chris,Gruetzemacher,"""Gritz""",Lightweight,15-5-0 (W-L-D),/athlete/chris-gruetzemacher
Clay,Guida,"""The Carpenter""",Lightweight,38-19-0 (W-L-D),/athlete/clay-guida
Gugun,Gusman,,Bantamweight,0-1-0 (W-L-D),/athlete/gugun-gusman
Alexander,Gustafsson,"""The Mauler""",Light Heavyweight,18-8-0 (W-L-D),/athlete/alexander-gustafsson
Mando,Gutierrez,,Bantamweight,0-1-0 (W-L-D),/athlete/mando-gutierrez
Chris,Gutierrez,"""El Guapo""",Bantamweight,19-3-2 (W-L-D),/athlete/chris-gutierrez
Chelsea,Hackett,,Women's Flyweight,0-1-0 (W-L-D),/athlete/chelsea-hackett
Jake,Hadley,"""White Kong""",Flyweight,9-1-0 (W-L-D),/athlete/aleks-oliveyra-1
Damir,Hadzovic,"""The Bosnian Bomber""",Lightweight,14-7-0 (W-L-D),/athlete/damir-hadzovic
Yazan,Hajeh,"""Yazzle Dazzle""",Featherweight,6-0-0 (W-L-D),/athlete/yazan-hajeh
Ryan,Hall,"""The Wizard""",Featherweight,9-2-0 (W-L-D),/athlete/ryan-hall
CJ,Hamilton,,Flyweight,11-5-0 (W-L-D),/athlete/cj-hamilton
Nasrat,Haqparast,,Lightweight,14-5-0 (W-L-D),/athlete/nasrat-haqparast
Janay,Harding,,Women's Bantamweight,3-2-0 (W-L-D),/athlete/janay-harding
Walt,Harris,"""The Big Ticket""",Heavyweight,13-10-0 (W-L-D),/athlete/walt-harris
Carlston,Harris,"""Mocambique""",Welterweight,17-5-0 (W-L-D),/athlete/carlston-harris
Ahmad,Hassanzada,,Lightweight,0-1-0 (W-L-D),/athlete/ahmad-hassanzada
John,Hathaway,"""The Hitman""",Welterweight,17-2-0 (W-L-D),/athlete/john-hathaway
Phil,Hawes,"""No Hype """,Middleweight,12-4-0 (W-L-D),/athlete/phillip-hawes
Ian,Heinisch,"""The Hurricane""",Middleweight,14-5-0 (W-L-D),/athlete/ian-heinisch
José,Henrique,,Welterweight,0-1-0 (W-L-D),/athlete/jose-henrique
Victor,Henry,"""La Mangosta""",Bantamweight,22-6-0 (W-L-D),/athlete/victor-henry
Danny,Henry,"""The Hatchet""",Featherweight,12-4-0 (W-L-D),/athlete/danny-henry
Jai,Herbert,"""Black Country Banger""",Lightweight,12-4-0 (W-L-D),/athlete/jai-herbert
