Name,Weight Class,Record
Curtis Blaydes,Heavyweight,17-3-0 (W-L-D)
Tereza Bleda,Women's Flyweight,6-1-0 (W-L-D)
Dashawn Boatwright,Light Heavyweight,3-2-0 (W-L-D)
Mandy Böhm,Women's Flyweight,7-2-0 (W-L-D)
Gaston Bolanos,Bantamweight,0-0-0 (W-L-D)
Denys Bondar,Flyweight,16-4-0 (W-L-D)
Gabriel Bonfim,Welterweight,14-0-0 (W-L-D)
Ismael Bonfim,Lightweight,19-3-0 (W-L-D)
Caio Borralho,Middleweight,13-1-0 (W-L-D)
Zach Borrego,Middleweight,0-1-0 (W-L-D)
Viacheslav Borshchev,Lightweight,6-3-0 (W-L-D)
Tanner Boser,Heavyweight,20-9-1 (W-L-D)
Kyron Bowen,Middleweight,0-1-0 (W-L-D)
Anvar Boynazarov,Featherweight,0-1-0 (W-L-D)
Sean Brady,Welterweight,15-1-0 (W-L-D)
Ramiz Brahimaj,Welterweight,10-4-0 (W-L-D)
Bruna Brasil,Women's Strawweight,8-2-1 (W-L-D)
Mike Breeden,Lightweight,10-5-0 (W-L-D)
Elves Brener,Lightweight,14-3-0 (W-L-D)
Marcos Brigagao,Light Heavyweight,0-0-0 (W-L-D)
Joanderson Brito,Featherweight,14-3-1 (W-L-D)
TJ Brown,Featherweight,17-9-0 (W-L-D)
Randy Brown,Welterweight,16-5-0 (W-L-D)
Matt Brown,Welterweight,25-19-0 (W-L-D)
Travis Browne,Heavyweight,18-7-1 (W-L-D)
Cody Brundage,Middleweight,8-3-0 (W-L-D)
Derek Brunson,Middleweight,23-8-0 (W-L-D)
Dennis Bryant,Light Heavyweight,5-2-0 (W-L-D)
Lukasz Brzeski,Heavyweight,8-2-1 (W-L-D)
Joaquin Buckley,Middleweight,15-6-0 (W-L-D)
Martin Buday,Heavyweight,3-0-0 (W-L-D)
Modestas Bukauskas,Light Heavyweight,14-5-0 (W-L-D)
Wuliji Buren,Bantamweight,10-8-0 (W-L-D)
Justin Burlinson,Welterweight,0-1-0 (W-L-D)
Herbert Burns,Featherweight,11-4-0 (W-L-D)
Gilbert Burns,Welterweight,21-5-0 (W-L-D)
JP Buys,Flyweight,9-5-0 (W-L-D)
Dennis Buzukja,Featherweight,1-1-0 (W-L-D)
Alex Caceres,Featherweight,20-13-0 (W-L-D)
Priscila Cachoeira,Women's Bantamweight,12-4-0 (W-L-D)
Ricky Calatayud,Flyweight,0-0-0 (W-L-D)
Taylor Callens,Lightweight,0-0-0 (W-L-D)
Cynthia Calvillo,Women's Flyweight,9-5-1 (W-L-D)
Ricky Camp,Bantamweight,0-0-0 (W-L-D)
Charlie Campbell,Lightweight,0-1-0 (W-L-D)
Aleksa Camur,Light Heavyweight,6-2-0 (W-L-D)
Carlos Candelario,Flyweight,8-3-0 (W-L-D)
Ronaldo Candido,Flyweight,5-2-0 (W-L-D)
Guido Cannetti,Bantamweight,10-7-0 (W-L-D)
Jared Cannonier,Middleweight,16-6-0 (W-L-D)
Paul Capaldo,Bantamweight,0-0-0 (W-L-D)
Phil Caracappa,Bantamweight,0-0-0 (W-L-D)
Ariane Carnelossi,Women's Strawweight,14-3-0 (W-L-D)
Luana Carolina,Women's Flyweight,8-3-0 (W-L-D)
Tim Caron,Middleweight,9-2-0 (W-L-D)
Clayton Carpenter,Flyweight,7-0-0 (W-L-D)
Jack Cartwright,Bantamweight,0-1-0 (W-L-D)
Cortney Casey,Women's Flyweight,10-10-0 (W-L-D)
John Castaneda,Bantamweight,19-6-0 (W-L-D)
Vernon Cathey,Light Heavyweight,0-0-0 (W-L-D)
Vinicius Cenci,Lightweight,0-1-0 (W-L-D)
Edgar Chairez,Flyweight,0-1-0 (W-L-D)
Michael Chandler,Lightweight,23-8-0 (W-L-D)
Chelsea Chandler,Women's Bantamweight,5-1-0 (W-L-D)
Gabriel Checco,Middleweight,10-2-0 (W-L-D)
Mark Cherico,Featherweight,11-2-0 (W-L-D)
Macy Chiasson,Women's Featherweight,9-3-0 (W-L-D)
Michael Chiesa,Welterweight,18-6-0 (W-L-D)
Giga Chikadze,Featherweight,14-3-0 (W-L-D)
Khamzat Chimaev,Welterweight,12-0-0 (W-L-D)
Seungwoo Choi,Featherweight,10-6-0 (W-L-D)
SeungGuk Choi,Flyweight,6-2-0 (W-L-D)
Dooho Choi,Featherweight,14-4-1 (W-L-D)
Katlyn Chookagian,Women's Flyweight,18-5-0 (W-L-D)
Cameron Church,Lightweight,0-1-0 (W-L-D)
Devin Clark,Light Heavyweight,14-7-0 (W-L-D)
Jessica-Rose Clark,Women's Bantamweight,11-8-0 (W-L-D)
Jamie Colleen,Women's Strawweight,4-2-0 (W-L-D)
Jake Collier,Heavyweight,13-8-0 (W-L-D)
Marcos Conrado Junior,Heavyweight,0-0-0 (W-L-D)
Michael Cora,Welterweight,4-2-0 (W-L-D)
Waldo Cortes Acosta,Heavyweight,9-0-0 (W-L-D)
Reyes Cortez,Bantamweight,0-1-0 (W-L-D)
Tracy Cortez,Women's Flyweight,10-1-0 (W-L-D)
Orion Cosce,Welterweight,8-1-0 (W-L-D)
Alessandro Costa,Flyweight,12-3-0 (W-L-D)
Melquizael Costa,Lightweight,19-6-0 (W-L-D)
Paulo Costa,Middleweight,14-2-0 (W-L-D)
Oscar Cota,Heavyweight,10-2-0 (W-L-D)
JR Coughran,Featherweight,4-1-0 (W-L-D)
Colby Covington,Welterweight,17-3-0 (W-L-D)
Hailey Cowan,Women's Bantamweight,7-2-0 (W-L-D)
Paul Craig,Light Heavyweight,16-6-1 (W-L-D)
Duane Crespo,Heavyweight,0-0-0 (W-L-D)
Kenneth Cross,Lightweight,11-3-0 (W-L-D)
Jimmy Crute,Light Heavyweight,12-3-1 (W-L-D)
Dominick Cruz,Bantamweight,24-4-0 (W-L-D)
Emilio Cuellar,Flyweight,0-0-0 (W-L-D)
Josh Culibao,Featherweight,11-1-1 (W-L-D)
Zak Cummings,Middleweight,24-7-0 (W-L-D)
Hugo Cunha,Heavyweight,0-0-0 (W-L-D)
Alton Cunningham,Light Heavyweight,7-2-0 (W-L-D)
Santo Curatolo,Flyweight,0-1-0 (W-L-D)
Chris Curtis,Middleweight,30-9-0 (W-L-D)
Ion Cutelaba,Light Heavyweight,16-9-1 (W-L-D)
Gleidson Cutis,Lightweight,0-0-0 (W-L-D)
Daniel da Silva,Flyweight,11-4-0 (W-L-D)
Diego Henrique da Silva,Middleweight,0-0-0 (W-L-D)
Henrique da Silva,Light Heavyweight,12-4-0 (W-L-D)
Henrique Da Silva Lopes,Heavyweight,0-0-0 (W-L-D)
Dayana da Silva Santos,Women's Bantamweight,0-0-0 (W-L-D)
Nicolas Dalby,Welterweight,21-4-1 (W-L-D)
Leonardo Damiani,Welterweight,0-1-0 (W-L-D)
Batgerel Danaa,Bantamweight,12-4-0 (W-L-D)
Jarjis Danho,Heavyweight,7-1-1 (W-L-D)
Beneil Dariush,Lightweight,22-4-1 (W-L-D)
Chris Daukaus,Heavyweight,12-6-0 (W-L-D)
John Davis,Middleweight,0-0-0 (W-L-D)
Mike Davis,Lightweight,10-2-0 (W-L-D)
Hakeem Dawodu,Featherweight,13-3-1 (W-L-D)
Grant Dawson,Lightweight,19-1-1 (W-L-D)
Angel De Anda,Light Heavyweight,18-6-0 (W-L-D)
Rafael de Freitas,Flyweight,0-0-0 (W-L-D)
Montana De La Rosa,Women's Flyweight,12-8-1 (W-L-D)
Marcos Rogerio de Lima,Heavyweight,20-9-1 (W-L-D)
Leonardo De Oliveira,Middleweight,0-0-0 (W-L-D)
Germaine de Randamie,Women's Bantamweight,10-4-0 (W-L-D)
Carl Deaton,Lightweight,17-6-0 (W-L-D)
Wallen Del Rosario,Flyweight,0-1-0 (W-L-D)
Jack Della Maddalena,Welterweight,14-2-0 (W-L-D)
Vanessa Demopoulos,Women's Strawweight,9-4-0 (W-L-D)
Mackenzie Dern,Women's Strawweight,12-3-0 (W-L-D)
Micol Di Segni,Women's Strawweight,0-0-0 (W-L-D)
Marc Diakiese,Lightweight,16-6-0 (W-L-D)
Mike Diamond,Welterweight,3-2-0 (W-L-D)
Adrian Diaz,Featherweight,11-5-1 (W-L-D)
Ozzy Diaz,Middleweight,0-1-0 (W-L-D)
Nick Diaz,Middleweight,26-11-0 (W-L-D)
Damien Dibbell,Heavyweight,0-0-0 (W-L-D)
Rico DiSciullo,Bantamweight,9-3-0 (W-L-D)
Matt Dixon,Welterweight,9-1-0 (W-L-D)
Drew Dober,Lightweight,26-11-0 (W-L-D)
AJ Dobson,Middleweight,6-2-0 (W-L-D)
Roman Dolidze,Middleweight,12-1-0 (W-L-D)
Rafael Dos Anjos,Welterweight,32-14-0 (W-L-D)
Acacio dos Santos,Light Heavyweight,0-1-0 (W-L-D)
Maiara Amajanas Dos Santos,Women's Strawweight,0-0-0 (W-L-D)
Elizeu dos Santos,Welterweight,23-7-0 (W-L-D)
Wesley Drain,Middleweight,0-0-0 (W-L-D)
Kyle Driscoll,Featherweight,12-3-0 (W-L-D)
Dricus Du Plessis,Middleweight,18-2-0 (W-L-D)
Emily Ducote,Women's Strawweight,12-7-0 (W-L-D)
Viktoriia Dudakova,Women's Strawweight,6-0-0 (W-L-D)
Isaac Dulgarian,Featherweight,5-0-0 (W-L-D)
Sedriques Dumas,Middleweight,7-0-0 (W-L-D)
Norma Dumont,Women's Featherweight,8-2-0 (W-L-D)
Chris Duncan,Lightweight,9-1-0 (W-L-D)
Christian Leroy Duncan,Middleweight,0-0-0 (W-L-D)
Albert Duraev,Middleweight,15-4-0 (W-L-D)
Cody Durden,Flyweight,14-4-1 (W-L-D)
Riley Dutro,Flyweight,14-4-0 (W-L-D)
Merab Dvalishvili,Bantamweight,15-4-0 (W-L-D)
David Dvorak,Flyweight,20-5-0 (W-L-D)
Roybert Echeverria,Flyweight,0-1-0 (W-L-D)
Adli Edwards,Featherweight,0-0-0 (W-L-D)
Joselyne Edwards,Women's Bantamweight,12-4-0 (W-L-D)
Leon Edwards,Welterweight,20-3-0 (W-L-D)
Stephanie Egger,Women's Featherweight,8-3-0 (W-L-D)
Evan Elder,Lightweight,7-2-0 (W-L-D)
Joao Elias,Flyweight,0-1-0 (W-L-D)
Darren Elkins,Featherweight,27-11-0 (W-L-D)
Tim Elliott,Flyweight,19-12-1 (W-L-D)
Sovannahry Em,Women's Bantamweight,0-0-0 (W-L-D)
Freddy Emiliano Linares,Featherweight,0-1-0 (W-L-D)
Jamall Emmers,Featherweight,19-6-0 (W-L-D)
Josh Emmett,Featherweight,18-3-0 (W-L-D)
Kolton Englund,Lightweight,0-1-0 (W-L-D)
Stephen Erceg,Flyweight,0-0-0 (W-L-D)
Julian Erosa,Featherweight,28-11-0 (W-L-D)
Jarno Errens,Featherweight,13-4-1 (W-L-D)
Carla Esparza,Women's Strawweight,20-7-0 (W-L-D)
Juan Espino,Heavyweight,11-2-0 (W-L-D)
Rafael Estevam,Flyweight,1-0-0 (W-L-D)
Achilles Estremadura,Lightweight,0-1-0 (W-L-D)
Shaun Etchell,Flyweight,0-1-0 (W-L-D)
Ashlee Evans-Smith,Women's Bantamweight,6-5-0 (W-L-D)
Movsar Evloev,Featherweight,16-0-0 (W-L-D)
Urijah Faber,Bantamweight,35-11-0 (W-L-D)
Zarah Fairn,Women's Featherweight,6-5-0 (W-L-D)
Rinat Fakhretdinov,Welterweight,20-1-0 (W-L-D)
Pedro Falcao,Bantamweight,1-0-0 (W-L-D)
Rico Farrington,Welterweight,0-0-0 (W-L-D)
Tony Ferguson,Welterweight,26-8-0 (W-L-D)
Gabriella Fernandes,Women's Flyweight,8-2-0 (W-L-D)
Erisson Ferreira,Flyweight,1-1-0 (W-L-D)
Brunno Ferreira,Middleweight,10-0-0 (W-L-D)
Diego Ferreira,Lightweight,17-5-0 (W-L-D)
Andre Fialho,Welterweight,16-6-0 (W-L-D)
Michal Figlak,Lightweight,8-1-0 (W-L-D)
Deiveson Figueiredo,Flyweight,21-3-1 (W-L-D)
Jafel Filho,Flyweight,14-2-0 (W-L-D)
Andre Fili,Featherweight,22-9-0 (W-L-D)
Nick Fiore,Lightweight,6-1-0 (W-L-D)
Manon Fiorot,Women's Flyweight,10-1-0 (W-L-D)
Rafael Fiziev,Lightweight,12-1-0 (W-L-D)
AJ Fletcher,Welterweight,10-2-0 (W-L-D)
Jimmy Flick,Flyweight,16-6-0 (W-L-D)
Luke Flores,Lightweight,7-2-0 (W-L-D)
Ty Flores,Light Heavyweight,0-1-0 (W-L-D)
Alejandro Flores,Featherweight,0-1-0 (W-L-D)
Darrius Flowers,Welterweight,12-5-1 (W-L-D)
Rob Font,Bantamweight,19-6-0 (W-L-D)
Brianna Fortino,Women's Strawweight,9-3-0 (W-L-D)
Kai Kara-France,Flyweight,24-10-0 (W-L-D)
Stephanie Frausto,Women's Strawweight,0-1-0 (W-L-D)
Donavon Frelow,Bantamweight,6-3-0 (W-L-D)
Josh Fremd,Middleweight,9-5-0 (W-L-D)
Matt Frevola,Lightweight,10-3-1 (W-L-D)
Jinh Yu Frey,Women's Strawweight,11-8-0 (W-L-D)
Waylon Frost,Welterweight,0-0-0 (W-L-D)
Adam Fugitt,Welterweight,9-3-0 (W-L-D)
Gustavo Gabriel,Flyweight,0-0-0 (W-L-D)
Justin Gaethje,Lightweight,24-4-0 (W-L-D)
Daniel Gallemore,Heavyweight,0-0-0 (W-L-D)
Mateusz Gamrot,Lightweight,21-2-0 (W-L-D)
Ciryl Gane,Heavyweight,11-1-0 (W-L-D)
Cody Garbrandt,Bantamweight,12-5-0 (W-L-D)
Steve Garcia,Featherweight,13-5-0 (W-L-D)
Rafa Garcia,Lightweight,15-3-0 (W-L-D)
Fernie Garcia,Bantamweight,10-3-0 (W-L-D)
Jesus Gaspar Diaz,Welterweight,0-0-0 (W-L-D)
Kelvin Gastelum,Middleweight,17-8-0 (W-L-D)
Melissa Gatto,Women's Flyweight,8-1-2 (W-L-D)
Manuel Gaxhja,Lightweight,0-0-0 (W-L-D)
Christos Giagos,Lightweight,19-10-0 (W-L-D)
Chase Gibson,Lightweight,0-1-0 (W-L-D)
Trevin Giles,Welterweight,15-4-0 (W-L-D)
Gregor Gillespie,Lightweight,14-1-0 (W-L-D)
Alex Gilpin,Featherweight,10-1-0 (W-L-D)
Ricky Glenn,Lightweight,22-6-2 (W-L-D)
Loopy Godinez,Women's Strawweight,8-3-0 (W-L-D)
Billy Goff,Welterweight,8-2-0 (W-L-D)
Amiran Gogoladze,Welterweight,0-1-0 (W-L-D)
Hannah Goldy,Women's Flyweight,6-3-0 (W-L-D)
Denise Gomes,Women's Strawweight,6-2-0 (W-L-D)
Edson Gomez,Welterweight,0-1-0 (W-L-D)
Joey Gomez,Lightweight,7-0-0 (W-L-D)
Luis Gomez,Featherweight,4-1-0 (W-L-D)
William Gomis,Featherweight,11-2-0 (W-L-D)
Justin Gonzales,Featherweight,9-0-0 (W-L-D)
Mikey Gonzalez,Lightweight,0-1-0 (W-L-D)
Erick Gonzalez,Lightweight,14-8-0 (W-L-D)
Lyman Good,Welterweight,21-6-0 (W-L-D)
Malcolm Gordon,Flyweight,14-6-0 (W-L-D)
Tebaris Gordon,Heavyweight,3-1-0 (W-L-D)
Jared Gordon,Lightweight,19-6-0 (W-L-D)
Tresean Gore,Middleweight,5-2-0 (W-L-D)
Themba Gorimbo,Welterweight,10-4-0 (W-L-D)
Kron Gracie,Featherweight,5-1-0 (W-L-D)
Davey Grant,Bantamweight,14-6-0 (W-L-D)
Alexa Grasso,Women's Flyweight,15-3-0 (W-L-D)
Tony Gravely,Bantamweight,23-8-0 (W-L-D)
Shelton Graves,Heavyweight,7-3-0 (W-L-D)
James Gray,Bantamweight,4-2-0 (W-L-D)
Kevin Gray,Flyweight,9-4-0 (W-L-D)
Gabriel Green,Welterweight,11-4-0 (W-L-D)
Bobby Green,Lightweight,29-14-1 (W-L-D)
Max Griffin,Welterweight,19-9-0 (W-L-D)
Maxim Grishin,Heavyweight,32-9-2 (W-L-D)
Garrett Gross,Lightweight,11-8-0 (W-L-D)
Chris Gruetzemacher,Lightweight,15-5-0 (W-L-D)
Clay Guida,Lightweight,38-19-0 (W-L-D)
Gugun Gusman,Bantamweight,0-1-0 (W-L-D)
Alexander Gustafsson,Light Heavyweight,18-8-0 (W-L-D)
Mando Gutierrez,Bantamweight,0-1-0 (W-L-D)
Chris Gutierrez,Bantamweight,19-3-2 (W-L-D)
Chelsea Hackett,Women's Flyweight,0-1-0 (W-L-D)
Jake Hadley,Flyweight,9-1-0 (W-L-D)
Damir Hadzovic,Lightweight,14-7-0 (W-L-D)
Yazan Hajeh,Featherweight,6-0-0 (W-L-D)
Ryan Hall,Featherweight,9-2-0 (W-L-D)
CJ Hamilton,Flyweight,11-5-0 (W-L-D)
Nasrat Haqparast,Lightweight,14-5-0 (W-L-D)
Janay Harding,Women's Bantamweight,3-2-0 (W-L-D)
Carlston Harris,Welterweight,17-5-0 (W-L-D)
Walt Harris,Heavyweight,13-10-0 (W-L-D)
Ahmad Hassanzada,Lightweight,0-1-0 (W-L-D)
John Hathaway,Welterweight,17-2-0 (W-L-D)
Phil Hawes,Middleweight,12-4-0 (W-L-D)
Ian Heinisch,Middleweight,14-5-0 (W-L-D)
José Henrique,Welterweight,0-1-0 (W-L-D)
Victor Henry,Bantamweight,22-6-0 (W-L-D)
Danny Henry,Featherweight,12-4-0 (W-L-D)
Jai Herbert,Lightweight,12-4-0 (W-L-D)
Ed Herman,Light Heavyweight,27-15-0 (W-L-D)
Jack Hermansson,Middleweight,23-8-0 (W-L-D)
Carlos Hernandez,Flyweight,8-2-0 (W-L-D)
Anthony Hernandez,Middleweight,10-2-0 (W-L-D)
Alexander Hernandez,Lightweight,14-6-0 (W-L-D)
Brady Hiestand,Bantamweight,7-2-0 (W-L-D)
Kailan Hill,Middleweight,0-0-0 (W-L-D)
Tyler Hill,Welterweight,6-1-0 (W-L-D)
Jamahal Hill,Light Heavyweight,12-1-0 (W-L-D)
Angela Hill,Women's Strawweight,15-12-0 (W-L-D)
Anthony Hintz,Heavyweight,0-0-0 (W-L-D)
Frank Holland,Heavyweight,0-0-0 (W-L-D)
Kevin Holland,Welterweight,23-9-0 (W-L-D)
Max Holloway,Featherweight,23-7-0 (W-L-D)
Holly Holm,Women's Bantamweight,14-6-0 (W-L-D)
Joseph Holmes,Middleweight,8-3-0 (W-L-D)
JunYoung Hong,Featherweight,0-1-0 (W-L-D)
Lorenzo Hood,Heavyweight,0-1-0 (W-L-D)
Dan Hooker,Lightweight,22-12-0 (W-L-D)
Chase Hooper,Featherweight,11-3-1 (W-L-D)
Yuma Horiuchi,Flyweight,0-1-0 (W-L-D)
Jamey-Lyn Horth,Women's Flyweight,0-0-0 (W-L-D)
Brady Huang,Bantamweight,11-2-0 (W-L-D)
Sam Hughes,Women's Strawweight,7-5-0 (W-L-D)
Al Iaquinta,Lightweight,14-7-1 (W-L-D)
Dan Ige,Featherweight,16-6-0 (W-L-D)
Nassourdine Imavov,Light Heavyweight,12-4-0 (W-L-D)
Mizuki Inoue,Women's Strawweight,14-6-0 (W-L-D)
Damir Ismagulov,Lightweight,24-2-0 (W-L-D)
Blagoy Ivanov,Heavyweight,19-5-0 (W-L-D)
Jason Jackson,Welterweight,7-3-0 (W-L-D)
Montel Jackson,Bantamweight,13-2-0 (W-L-D)
Damon Jackson,Featherweight,22-5-1 (W-L-D)
Richard Jacobi,Heavyweight,0-1-0 (W-L-D)
Dustin Jacoby,Light Heavyweight,18-6-1 (W-L-D)
Virna Jandiroba,Women's Strawweight,18-3-0 (W-L-D)
Jasmine Jasudavicius,Women's Flyweight,8-2-0 (W-L-D)
Yazmin Jauregui,Women's Strawweight,10-0-0 (W-L-D)
Joanna Jędrzejczyk,Women's Strawweight,16-5-0 (W-L-D)
Aaron Jeffery,Middleweight,6-2-0 (W-L-D)
Jack Jenkins,Featherweight,11-2-0 (W-L-D)
