Name,Weight Class,Record
Manel Kape,Flyweight,18-6-0 (W-L-D)
Jinnosuke Kashimura,Lightweight,0-1-0 (W-L-D)
Calvin Kattar,Featherweight,23-7-0 (W-L-D)
Canaan Kawaihae,Featherweight,4-2-0 (W-L-D)
Toshiomi Kazama,Bantamweight,10-3-0 (W-L-D)
Brian Kelleher,Bantamweight,24-14-0 (W-L-D)
Mayana Kellem,Women's Bantamweight,0-0-0 (W-L-D)
Song Kenan,Welterweight,18-6-0 (W-L-D)
Casey Kenney,Bantamweight,16-4-1 (W-L-D)
Maimaitituoheti Keremuaili,Bantamweight,0-1-0 (W-L-D)
Alfred Khashakyan,Bantamweight,8-4-0 (W-L-D)
Aliaskhab Khizriev,Middleweight,14-0-0 (W-L-D)
WonBin Ki,Lightweight,1-1-0 (W-L-D)
Pannie Kianzad,Women's Bantamweight,17-6-0 (W-L-D)
HanSeul Kim,Welterweight,1-0-0 (W-L-D)
MinWoo Kim,Bantamweight,0-0-0 (W-L-D)
KyeongPyo Kim,Lightweight,1-1-0 (W-L-D)
Ji Yeon Kim,Women's Bantamweight,9-6-2 (W-L-D)
Yusaku Kinoshita,Welterweight,6-2-0 (W-L-D)
Kamuela Kirk,Featherweight,12-5-0 (W-L-D)
Top Noi Kiwram,Flyweight,1-1-0 (W-L-D)
Ludovit Klein,Lightweight,19-4-0 (W-L-D)
Felix Klinkhammer,Welterweight,0-0-0 (W-L-D)
Drakkar Klose,Lightweight,13-2-1 (W-L-D)
William Knight,Light Heavyweight,11-5-0 (W-L-D)
Josefine Knutsson,Women's Strawweight,1-0-0 (W-L-D)
Kaloyan Kolev,Light Heavyweight,0-1-0 (W-L-D)
Roman Kopylov,Middleweight,10-2-0 (W-L-D)
Bruno Korea,Flyweight,4-3-0 (W-L-D)
Steven Koslow,Bantamweight,6-1-0 (W-L-D)
Karolina Kowalkiewicz,Women's Strawweight,15-7-0 (W-L-D)
James Krause,Welterweight,28-9-0 (W-L-D)
Nikita Krylov,Light Heavyweight,29-9-0 (W-L-D)
Mariusz Ksiazkiewicz,Middleweight,0-1-0 (W-L-D)
Rizvan Kuniev,Heavyweight,1-0-0 (W-L-D)
Korey Kuppe,Welterweight,8-4-0 (W-L-D)
Guram Kutateladze,Lightweight,12-3-0 (W-L-D)
Luan Lacerda,Bantamweight,12-2-0 (W-L-D)
Yohan Lainesse,Welterweight,9-2-0 (W-L-D)
Sean Lally,Welterweight,8-4-0 (W-L-D)
Nate Landwehr,Featherweight,16-4-0 (W-L-D)
Austen Lane,Heavyweight,12-3-0 (W-L-D)
Lina Lansberg,Women's Bantamweight,10-8-0 (W-L-D)
Taylor Lapilus,Bantamweight,11-2-0 (W-L-D)
Ilir Latifi,Heavyweight,17-8-0 (W-L-D)
Joe Lauzon,Lightweight,28-16-0 (W-L-D)
Sandra Lavado,Women's Strawweight,0-1-0 (W-L-D)
Robbie Lawler,Welterweight,29-16-0 (W-L-D)
Lance Lawrence,Featherweight,5-0-0 (W-L-D)
Ronnie Lawrence,Bantamweight,8-2-0 (W-L-D)
Jimmy Lawson,Heavyweight,0-1-0 (W-L-D)
Mounir Lazzez,Welterweight,11-3-0 (W-L-D)
Thanh Le,Featherweight,7-1-0 (W-L-D)
Jordan Leavitt,Lightweight,11-2-0 (W-L-D)
Kevin Lee,Welterweight,18-7-0 (W-L-D)
JeongYeong Lee,Featherweight,10-1-0 (W-L-D)
Andrea Lee,Women's Flyweight,13-6-0 (W-L-D)
Cheyden Leialoha,Bantamweight,6-1-0 (W-L-D)
Claudia Leite,Women's Bantamweight,0-1-0 (W-L-D)
Amanda Lemos,Women's Strawweight,13-2-1 (W-L-D)
Victoria Leonardo,Women's Flyweight,9-5-0 (W-L-D)
Natan Levy,Lightweight,8-1-0 (W-L-D)
Brandon Lewis,Bantamweight,0-2-0 (W-L-D)
Malik Lewis,Lightweight,0-1-0 (W-L-D)
Derrick Lewis,Heavyweight,26-11-0 (W-L-D)
Rodrigo Lidio,Lightweight,0-1-0 (W-L-D)
Mabelly Lima,Women's Bantamweight,0-0-0 (W-L-D)
Austin Lingo,Featherweight,9-1-0 (W-L-D)
Philipe Lins,Light Heavyweight,16-5-0 (W-L-D)
Ariane Lipski,Women's Flyweight,14-8-0 (W-L-D)
Tainara Lisboa,Women's Bantamweight,0-0-0 (W-L-D)
Dylan Lockard,Featherweight,0-0-0 (W-L-D)
Christian Lohsen,Lightweight,0-0-0 (W-L-D)
Michael Lombardo,Welterweight,11-2-0 (W-L-D)
Xiao Long,Bantamweight,0-1-0 (W-L-D)
Loma Lookboonmee,Women's Strawweight,8-3-0 (W-L-D)
Ange Loosa,Welterweight,9-3-0 (W-L-D)
Diego Lopes,Featherweight,0-1-0 (W-L-D)
Brendan Loughnane,Lightweight,16-4-0 (W-L-D)
Joseph Lowry,Lightweight,7-2-0 (W-L-D)
Iasmin Lucindo,Women's Strawweight,13-5-0 (W-L-D)
Qiu Lun,Flyweight,1-2-0 (W-L-D)
Vicente Luque,Welterweight,21-9-1 (W-L-D)
Tucker Lutz,Featherweight,12-2-0 (W-L-D)
Pawan Maan,Lightweight,0-1-0 (W-L-D)
Veronica Macedo,Women's Flyweight,6-4-1 (W-L-D)
Valesca Machado,Women's Strawweight,0-1-0 (W-L-D)
Caio Machado,Heavyweight,0-0-0 (W-L-D)
Ian Machado Garry,Welterweight,10-0-0 (W-L-D)
Pauline Macias,Women's Strawweight,0-1-0 (W-L-D)
Mark Madsen,Lightweight,12-1-0 (W-L-D)
Neil Magny,Welterweight,27-11-0 (W-L-D)
Shara Magomedov,Middleweight,0-0-0 (W-L-D)
Abus Magomedov,Middleweight,25-4-1 (W-L-D)
Maheshate,Lightweight,9-2-0 (W-L-D)
Nayara Maia,Women's Flyweight,0-1-0 (W-L-D)
Jennifer Maia,Women's Flyweight,20-9-1 (W-L-D)
Roshan Mainam,Featherweight,0-0-0 (W-L-D)
John Makdessi,Lightweight,18-8-0 (W-L-D)
Islam Makhachev,Lightweight,24-1-0 (W-L-D)
Bea Malecki,Women's Bantamweight,4-1-0 (W-L-D)
Jacob Malkoun,Middleweight,7-2-0 (W-L-D)
Mike Malott,Welterweight,9-1-1 (W-L-D)
Nate Maness,Flyweight,14-3-0 (W-L-D)
Gary Mangat,Flyweight,0-0-0 (W-L-D)
Marnic Mann,Women's Strawweight,0-1-0 (W-L-D)
Daniel Marcos,Bantamweight,14-0-0 (W-L-D)
Julian Marquez,Middleweight,9-3-0 (W-L-D)
Francis Marshall,Featherweight,7-0-0 (W-L-D)
Michal Martinek,Heavyweight,0-0-0 (W-L-D)
Melissa Martinez,Women's Strawweight,7-1-0 (W-L-D)
Jonathan Martinez,Bantamweight,17-4-0 (W-L-D)
Mana Martinez,Bantamweight,10-3-0 (W-L-D)
Victor Martinez,Lightweight,13-5-0 (W-L-D)
Tiffany Masters,Women's Strawweight,2-1-0 (W-L-D)
Jorge Masvidal,Welterweight,35-16-0 (W-L-D)
Darius Mata-Varona,Heavyweight,0-0-0 (W-L-D)
Al Matavao,Light Heavyweight,0-1-0 (W-L-D)
Koyomi Matsushima,Featherweight,1-1-0 (W-L-D)
Connor Matthews,Featherweight,0-1-0 (W-L-D)
Jake Matthews,Welterweight,18-6-0 (W-L-D)
Miranda Maverick,Women's Flyweight,13-4-0 (W-L-D)
Jack May,Heavyweight,7-2-0 (W-L-D)
Don'Tale Mayes,Heavyweight,9-5-0 (W-L-D)
Molly McCann,Women's Flyweight,13-5-0 (W-L-D)
Court McGee,Welterweight,22-11-0 (W-L-D)
Conor McGregor,Lightweight,22-6-0 (W-L-D)
Cory McKenna,Women's Strawweight,8-2-0 (W-L-D)
Terrance McKinney,Lightweight,13-5-0 (W-L-D)
Tim Means,Welterweight,32-14-1 (W-L-D)
Uroš Medić,Lightweight,8-1-0 (W-L-D)
Alton Meeks,Heavyweight,3-0-0 (W-L-D)
Gerald Meerschaert,Middleweight,35-15-0 (W-L-D)
Mateus Mendonça,Bantamweight,10-1-0 (W-L-D)
Alonzo Menifield,Light Heavyweight,13-3-1 (W-L-D)
Mo Miller,Bantamweight,1-0-0 (W-L-D)
Juliana Miller,Women's Flyweight,4-1-0 (W-L-D)
Jim Miller,Lightweight,35-17-0 (W-L-D)
Zhang Mingyang,Light Heavyweight,1-0-0 (W-L-D)
Stipe Miocic,Heavyweight,20-4-0 (W-L-D)
Gabriel Miranda,Lightweight,16-6-0 (W-L-D)
Toby Misech,Featherweight,10-5-0 (W-L-D)
Maurice Mitchell,Featherweight,11-2-0 (W-L-D)
Bryce Mitchell,Featherweight,15-2-0 (W-L-D)
Renato Moicano,Lightweight,17-5-1 (W-L-D)
Thiago Moises,Lightweight,17-6-0 (W-L-D)
Muhammad Mokaev,Flyweight,9-0-0 (W-L-D)
Jeffrey Molina,Flyweight,11-2-0 (W-L-D)
Alberto Montes,Bantamweight,0-0-0 (W-L-D)
Taylor Moore,Bantamweight,0-1-0 (W-L-D)
Sergio Moraes,Welterweight,14-7-1 (W-L-D)
Michael Morales,Welterweight,14-0-0 (W-L-D)
Omar Morales,Lightweight,11-3-0 (W-L-D)
Gisele Moreira,Women's Bantamweight,0-0-0 (W-L-D)
Brandon Moreno,Flyweight,21-6-2 (W-L-D)
Alexander Morgan,Featherweight,0-1-0 (W-L-D)
Alex Morono,Welterweight,22-8-0 (W-L-D)
Maryna Moroz,Women's Flyweight,11-4-0 (W-L-D)
Sergey Morozov,Bantamweight,19-5-0 (W-L-D)
Nikolas Motta,Lightweight,13-4-0 (W-L-D)
Sumudaerji,Flyweight,16-5-0 (W-L-D)
Belal Muhammad,Welterweight,22-3-0 (W-L-D)
Jamie Mullarkey,Lightweight,16-5-0 (W-L-D)
Pedro Munhoz,Bantamweight,19-7-0 (W-L-D)
Emanuel Muniz,Middleweight,0-0-0 (W-L-D)
Andre Muniz,Middleweight,23-5-0 (W-L-D)
Johnny Munoz,Bantamweight,12-2-0 (W-L-D)
Alexander Munoz,Lightweight,6-2-0 (W-L-D)
Olivier Murad,Featherweight,1-0-0 (W-L-D)
Makhmud Muradov,Middleweight,25-8-0 (W-L-D)
Kanako Murata,Women's Strawweight,12-2-0 (W-L-D)
Aili Muratbek,Lightweight,0-0-0 (W-L-D)
Vince Murdock,Featherweight,12-4-0 (W-L-D)
Samandar Murodov,Welterweight,1-0-0 (W-L-D)
Lerone Murphy,Featherweight,11-0-1 (W-L-D)
Lauren Murphy,Women's Flyweight,16-6-0 (W-L-D)
Jesse Murray,Light Heavyweight,0-1-0 (W-L-D)
Azamat Murzakanov,Light Heavyweight,12-0-0 (W-L-D)
Max Mustaki,Lightweight,6-3-0 (W-L-D)
Liang Na,Women's Strawweight,17-6-0 (W-L-D)
Muhammadjon Naimov,Featherweight,5-1-0 (W-L-D)
Rinya Nakamura,Bantamweight,7-0-0 (W-L-D)
Tyson Nam,Flyweight,21-12-1 (W-L-D)
Rose Namajunas,Women's Strawweight,12-5-0 (W-L-D)
Allan Nascimento,Flyweight,20-6-0 (W-L-D)
Rodrigo Nascimento,Heavyweight,9-1-0 (W-L-D)
Nasrudin Nasrudinov,Light Heavyweight,0-1-0 (W-L-D)
Tafon Nchukwi,Light Heavyweight,6-3-0 (W-L-D)
Geoff Neal,Welterweight,15-4-0 (W-L-D)
Nicolae Negumereanu,Light Heavyweight,13-2-0 (W-L-D)
Nair Nelikyan,Lightweight,0-0-0 (W-L-D)
Gunnar Nelson,Welterweight,18-5-1 (W-L-D)
Kyle Nelson,Featherweight,13-5-1 (W-L-D)
Eduardo Neves,Heavyweight,0-1-0 (W-L-D)
Nick Newell,Lightweight,14-1-0 (W-L-D)
Journey Newson,Bantamweight,10-4-0 (W-L-D)
Steven Nguyen,Featherweight,1-0-0 (W-L-D)
Bo Nickal,Middleweight,3-0-0 (W-L-D)
Matheus Nicolau,Flyweight,19-3-1 (W-L-D)
Jaimee Nievera,Women's Flyweight,7-4-0 (W-L-D)
Chidi Njokuani,Middleweight,22-8-0 (W-L-D)
Kyle Noblitt,Heavyweight,0-0-0 (W-L-D)
Shohei Nose,Bantamweight,1-1-0 (W-L-D)
Shayilan Nuerdanbieke,Featherweight,39-10-0 (W-L-D)
Istela Nunes,Women's Strawweight,6-4-0 (W-L-D)
Amanda Nunes,Women's Bantamweight,22-5-0 (W-L-D)
Josiane Nunes,Women's Featherweight,10-1-0 (W-L-D)
Abubakar Nurmagomedov,Welterweight,17-3-1 (W-L-D)
Umar Nurmagomedov,Bantamweight,16-0-0 (W-L-D)
Jesse Nutting,Middleweight,0-0-0 (W-L-D)
Kennedy Nzechukwu,Light Heavyweight,11-3-0 (W-L-D)
Sean O'Malley,Bantamweight,16-1-0 (W-L-D)
Casey O'Neill,Women's Flyweight,9-0-0 (W-L-D)
Christian Ocon,Bantamweight,4-0-0 (W-L-D)
Volkan Oezdemir,Light Heavyweight,18-7-0 (W-L-D)
Trey Ogden,Lightweight,16-5-0 (W-L-D)
Ho Taek Oh,Lightweight,0-0-0 (W-L-D)
JJ Okanovich,Lightweight,0-0-0 (W-L-D)
Michal Oleksiejczuk,Middleweight,18-5-0 (W-L-D)
Saimon Oliveira,Bantamweight,18-5-0 (W-L-D)
Maria Oliveira,Women's Strawweight,13-6-0 (W-L-D)
Bruno Oliveira,Light Heavyweight,0-1-0 (W-L-D)
Charles Oliveira,Lightweight,33-9-0 (W-L-D)
Cameron Olson,Light Heavyweight,8-3-0 (W-L-D)
David Onama,Featherweight,10-2-0 (W-L-D)
Chibwikem Onyenegecha,Middleweight,6-0-0 (W-L-D)
Brian Ortega,Featherweight,15-3-0 (W-L-D)
Ode' Osbourne,Flyweight,11-5-0 (W-L-D)
Sidney Outlaw,Welterweight,9-4-0 (W-L-D)
Fernando Padilla,Featherweight,0-0-0 (W-L-D)
Dinis Paiva,Featherweight,13-8-0 (W-L-D)
Rick Palacios,Featherweight,10-1-0 (W-L-D)
Alexandre Pantoja,Flyweight,25-5-0 (W-L-D)
Kathryn Paprocki,Women's Strawweight,0-1-0 (W-L-D)
Josh Parisian,Heavyweight,15-6-0 (W-L-D)
Junyong Park,Middleweight,16-5-0 (W-L-D)
Harvey Park,Lightweight,0-0-0 (W-L-D)
HyunSung Park,Flyweight,8-0-0 (W-L-D)
Mick Parkin,Heavyweight,6-0-0 (W-L-D)
Preston Parsons,Welterweight,10-3-0 (W-L-D)
Jonny Parsons,Welterweight,8-2-0 (W-L-D)
Jhonoven Pati,Middleweight,0-1-0 (W-L-D)
Sam Patterson,Lightweight,1-0-0 (W-L-D)
Zac Pauga,Light Heavyweight,7-1-0 (W-L-D)
Thomas Paull,Lightweight,0-1-0 (W-L-D)
Sergei Pavlovich,Heavyweight,17-1-0 (W-L-D)
Jonathan Pearce,Featherweight,14-4-0 (W-L-D)
Carlo Pedersoli,Welterweight,11-3-0 (W-L-D)
Tyson Pedro,Light Heavyweight,9-4-0 (W-L-D)
Trevor Peek,Lightweight,8-0-0 (W-L-D)
Matěj Peňáz,Middleweight,0-1-0 (W-L-D)
Jessica Penne,Women's Strawweight,14-7-0 (W-L-D)
Raquel Pennington,Women's Bantamweight,15-9-0 (W-L-D)
Julianna Peña,Women's Bantamweight,12-5-0 (W-L-D)
Daniel Pereira,Middleweight,0-0-0 (W-L-D)
Alex Pereira,Middleweight,7-1-0 (W-L-D)
Michel Pereira,Welterweight,28-11-0 (W-L-D)
Dorian Perez,Heavyweight,0-0-0 (W-L-D)
Ailin Perez,Women's Featherweight,7-2-0 (W-L-D)
Alex Perez,Flyweight,24-7-0 (W-L-D)
Steven Peterson,Featherweight,19-10-0 (W-L-D)
Vitor Petrino,Light Heavyweight,7-0-0 (W-L-D)
Andre Petroski,Middleweight,9-2-0 (W-L-D)
Armen Petrosyan,Middleweight,8-2-0 (W-L-D)
Peter Petties,Featherweight,5-3-0 (W-L-D)
Kyler Phillips,Bantamweight,10-2-0 (W-L-D)
Aaron Phillips,Bantamweight,12-4-0 (W-L-D)
Vinc Pichel,Lightweight,14-3-0 (W-L-D)
Jamie Pickett,Middleweight,13-8-0 (W-L-D)
Paddy Pimblett,Lightweight,20-3-0 (W-L-D)
Daniel Pineda,Featherweight,27-14-0 (W-L-D)
Luana Pinheiro,Women's Strawweight,10-1-0 (W-L-D)
Jamal Pogues,Heavyweight,10-3-0 (W-L-D)
Dustin Poirier,Lightweight,29-7-0 (W-L-D)
Julia Polastri,Women's Flyweight,0-1-0 (W-L-D)
Santiago Ponzinibbio,Welterweight,30-6-0 (W-L-D)
Alexander Poppeck,Light Heavyweight,0-0-0 (W-L-D)
Parker Porter,Heavyweight,13-8-0 (W-L-D)
Ihor Potieria,Light Heavyweight,20-3-0 (W-L-D)
Dylan Potter,Heavyweight,0-1-0 (W-L-D)
Marcin Prachnio,Light Heavyweight,16-6-0 (W-L-D)
Francisco Prado,Lightweight,11-1-0 (W-L-D)
Ricardo Prasel,Heavyweight,9-2-0 (W-L-D)
Niko Price,Welterweight,15-6-0 (W-L-D)
Jiří Procházka,Light Heavyweight,29-3-1 (W-L-D)
Andrew Provost,Welterweight,0-0-0 (W-L-D)
Lucie Pudilova,Women's Bantamweight,9-6-0 (W-L-D)
Claudio Puelles,Lightweight,13-3-0 (W-L-D)
Juan Puerta,Flyweight,1-0-0 (W-L-D)
Joe Pyfer,Middleweight,9-2-0 (W-L-D)
Billy Quarantillo,Featherweight,17-4-0 (W-L-D)
Josh Quinlan,Welterweight,6-0-0 (W-L-D)
Landon Quinones,Lightweight,0-0-0 (W-L-D)
Isaih Quinones,Light Heavyweight,0-0-0 (W-L-D)
Cristian Quiñonez,Bantamweight,18-3-0 (W-L-D)
Loik Radzhabov,Lightweight,0-0-0 (W-L-D)
Shavkat Rakhmonov,Welterweight,16-0-0 (W-L-D)
Aleksandar Rakić,Light Heavyweight,14-3-0 (W-L-D)
Ricardo Ramos,Featherweight,16-4-0 (W-L-D)
Mitch Raposo,Flyweight,0-1-0 (W-L-D)
Mateusz Rębecki,Lightweight,17-1-0 (W-L-D)
Greg Rebello,Heavyweight,24-8-0 (W-L-D)
Karl Reed,Light Heavyweight,2-1-0 (W-L-D)
Elise Reed,Women's Strawweight,6-3-0 (W-L-D)
Steve Regman,Middleweight,9-3-0 (W-L-D)
Paulo Renato Jr.,Heavyweight,0-1-0 (W-L-D)
Solomon Renfro,Welterweight,0-1-0 (W-L-D)
Kyle Reyes,Featherweight,0-0-0 (W-L-D)
Alex Reyes,Welterweight,13-3-0 (W-L-D)
Dominick Reyes,Light Heavyweight,12-4-0 (W-L-D)
Victor Reyna,Welterweight,11-5-0 (W-L-D)
Lucrezia Ria,Women's Flyweight,0-0-0 (W-L-D)
Amanda Ribas,Women's Flyweight,11-3-0 (W-L-D)
Claudio Ribeiro,Middleweight,10-3-0 (W-L-D)
Esteban Ribovics,Lightweight,11-0-0 (W-L-D)
Tabatha Ricci,Women's Strawweight,7-1-0 (W-L-D)
Brad Riddell,Lightweight,10-4-0 (W-L-D)
Theo Rlayang,Featherweight,0-1-0 (W-L-D)
Kali Robbins,Women's Strawweight,6-2-0 (W-L-D)
Danny Roberts,Welterweight,18-7-0 (W-L-D)
Gillian Robertson,Women's Flyweight,11-7-0 (W-L-D)
Kleydson Rodrigues,Flyweight,8-2-0 (W-L-D)
Gregory Rodrigues,Middleweight,13-5-0 (W-L-D)
Pete Rodriguez,Welterweight,5-1-0 (W-L-D)
Luis Rodriguez,Flyweight,0-1-0 (W-L-D)
Daniel Rodriguez,Welterweight,17-3-0 (W-L-D)
Piera Rodriguez,Women's Strawweight,9-0-0 (W-L-D)
Azael Rodriguez,Middleweight,0-0-0 (W-L-D)
Christian Rodriguez,Bantamweight,8-1-0 (W-L-D)
Marina Rodriguez,Women's Strawweight,16-2-2 (W-L-D)
Yair Rodriguez,Featherweight,16-3-0 (W-L-D)
Alexandr Romanov,Heavyweight,16-1-0 (W-L-D)
Anthony Romero,Lightweight,1-0-0 (W-L-D)
Kaleio Romero,Featherweight,0-1-0 (W-L-D)
Juancamilo Ronderos,Flyweight,4-2-0 (W-L-D)
Charles Rosa,Featherweight,14-8-0 (W-L-D)
Karol Rosa,Women's Bantamweight,16-4-0 (W-L-D)
Jacob Rosales,Lightweight,11-5-0 (W-L-D)
Raul Rosas Jr.,Bantamweight,7-0-0 (W-L-D)
Hilarie Rose,Women's Strawweight,4-2-0 (W-L-D)
Shannon Ross,Flyweight,13-7-0 (W-L-D)
Khalil Rountree Jr.,Light Heavyweight,12-5-0 (W-L-D)
Phil Rowe,Welterweight,10-3-0 (W-L-D)
Brandon Royval,Flyweight,14-6-0 (W-L-D)
Jairzinho Rozenstruik,Heavyweight,13-4-0 (W-L-D)
Montserrat Ruiz,Women's Strawweight,10-2-0 (W-L-D)
Cameron Saaiman,Bantamweight,7-0-0 (W-L-D)
Danny Sabatello,Bantamweight,1-0-0 (W-L-D)
Pat Sabatini,Featherweight,17-4-0 (W-L-D)
Nazim Sadykhov,Lightweight,8-1-0 (W-L-D)
Frankie Saenz,Bantamweight,13-7-0 (W-L-D)
Benoît Saint-Denis,Lightweight,10-1-0 (W-L-D)
Ovince Saint Preux,Light Heavyweight,26-17-0 (W-L-D)
Augusto Sakai,Heavyweight,16-5-1 (W-L-D)
Luis Saldana,Featherweight,16-7-1 (W-L-D)
Muslim Salikhov,Welterweight,19-3-0 (W-L-D)
Vinicius Salvador,Flyweight,14-4-0 (W-L-D)
Cory Sandhagen,Bantamweight,15-4-0 (W-L-D)
Martin Sano,Welterweight,4-3-0 (W-L-D)
Shaheen Santana,Lightweight,0-1-0 (W-L-D)
Richie Santiago,Bantamweight,7-1-0 (W-L-D)
Will Santiago,Middleweight,9-6-0 (W-L-D)
Daniel Santos,Bantamweight,1-1-0 (W-L-D)
Marilia Santos,Women's Flyweight,0-0-0 (W-L-D)
Edivan Santos,Heavyweight,0-1-0 (W-L-D)
Leonardo Santos,Lightweight,18-7-1 (W-L-D)
Taila Santos,Women's Flyweight,19-2-0 (W-L-D)
Yana Santos,Women's Bantamweight,14-6-0 (W-L-D)
Jeka Saragih,Lightweight,13-3-0 (W-L-D)
Keisuke Sasu,Featherweight,1-1-0 (W-L-D)
Takashi Sato,Welterweight,16-7-0 (W-L-D)
Brandon Sayles,Heavyweight,0-0-0 (W-L-D)
Matheus Scheffel,Light Heavyweight,0-1-0 (W-L-D)
Matt Schnell,Flyweight,16-7-0 (W-L-D)
Jewel Scott,Lightweight,0-0-0 (W-L-D)
Tetsuya Seki,Lightweight,0-0-0 (W-L-D)
Matthew Semelsberger,Welterweight,11-4-0 (W-L-D)
YeDam Seo,Women's Strawweight,0-1-0 (W-L-D)
Leon Shahbazyan,Welterweight,7-1-0 (W-L-D)
Edmen Shahbazyan,Middleweight,12-3-0 (W-L-D)
Don Shainis,Featherweight,12-5-0 (W-L-D)
Chase Sherman,Heavyweight,16-11-0 (W-L-D)
Antonina Shevchenko,Women's Flyweight,10-4-0 (W-L-D)
Valentina Shevchenko,Women's Flyweight,23-3-0 (W-L-D)
Henrique Shiguemoto,Middleweight,0-1-0 (W-L-D)
Jack Shore,Featherweight,16-1-0 (W-L-D)
Maria Silva,Women's Strawweight,1-1-0 (W-L-D)
Jansey Silva,Middleweight,0-1-0 (W-L-D)
Jacob Silva,Flyweight,0-2-0 (W-L-D)
Bruno Silva,Flyweight,12-5-2 (W-L-D)
Natalia Silva,Women's Flyweight,14-5-1 (W-L-D)
Erik Silva,Featherweight,9-2-0 (W-L-D)
Karine Silva,Women's Flyweight,15-4-0 (W-L-D)
Bruno Silva,Middleweight,22-8-0 (W-L-D)
Joaquim Silva,Lightweight,12-4-0 (W-L-D)
Mayra Bueno Silva,Women's Bantamweight,10-2-1 (W-L-D)
Douglas Silva de Andrade,Bantamweight,28-5-0 (W-L-D)
Ricky Simon,Bantamweight,20-3-0 (W-L-D)
Everett Sims,Heavyweight,4-1-0 (W-L-D)
Mitchell Sipe,Heavyweight,4-1-0 (W-L-D)
Gian Siqueira,Welterweight,0-1-0 (W-L-D)
Jeremia Siregar,Flyweight,0-1-0 (W-L-D)
Nate Smith,Flyweight,0-1-0 (W-L-D)
Michael Smith,Welterweight,0-0-0 (W-L-D)
Anthony Smith,Light Heavyweight,36-17-0 (W-L-D)
Shimon Smotritsky,Welterweight,0-2-0 (W-L-D)
Devin Smyth,Welterweight,0-0-0 (W-L-D)
Joe Solecki,Lightweight,12-3-0 (W-L-D)
Yadong Song,Bantamweight,19-7-1 (W-L-D)
Emiliano Sordi,Light Heavyweight,16-7-0 (W-L-D)
Punahele Soriano,Middleweight,9-3-0 (W-L-D)
Mario Sousa,Middleweight,1-2-0 (W-L-D)
Willian Souza,Bantamweight,0-0-0 (W-L-D)
Ryan Spann,Light Heavyweight,21-7-0 (W-L-D)
Serghei Spivac,Heavyweight,16-3-0 (W-L-D)
Daniel Spohn,Light Heavyweight,16-5-0 (W-L-D)
Cody Stamann,Bantamweight,21-5-1 (W-L-D)
Ricky Steele,Bantamweight,0-0-0 (W-L-D)
Aljamain Sterling,Bantamweight,22-3-0 (W-L-D)
Lazar Stojadinovic,Featherweight,12-6-0 (W-L-D)
Julija Stoliarenko,Women's Bantamweight,10-8-2 (W-L-D)
Dustin Stoltzfus,Middleweight,14-5-0 (W-L-D)
Sean Strickland,Light Heavyweight,26-5-0 (W-L-D)
Tatiana Suarez,Women's Flyweight,10-0-0 (W-L-D)
Lukasz Sudolski,Light Heavyweight,0-1-0 (W-L-D)
Justin Sumter,Middleweight,7-2-0 (W-L-D)
Rama Supandhi,Flyweight,0-1-0 (W-L-D)
Danilo Suzart,Heavyweight,0-1-0 (W-L-D)
Daniel Swain,Featherweight,20-10-1 (W-L-D)
Cub Swanson,Bantamweight,28-13-0 (W-L-D)
Oumar Sy,Light Heavyweight,0-0-0 (W-L-D)
Kevin Syler,Lightweight,10-1-0 (W-L-D)
Kevin Szaflarski,Heavyweight,0-0-0 (W-L-D)
Junior Tafa,Heavyweight,0-0-0 (W-L-D)
Justin Tafa,Heavyweight,6-3-0 (W-L-D)
Tatsuro Taira,Flyweight,13-0-0 (W-L-D)
Miesha Tate,Women's Flyweight,19-9-0 (W-L-D)
Brad Tavares,Middleweight,19-8-0 (W-L-D)
Paul Teague,Welterweight,0-0-0 (W-L-D)
Shawn Teed,Heavyweight,5-2-0 (W-L-D)
Taneisha Tennant,Women's Featherweight,5-1-0 (W-L-D)
Testy Test,Heavyweight,0-0-0 (W-L-D)
David Teymur,Lightweight,8-2-0 (W-L-D)
Christapher Thomas,Welterweight,0-0-0 (W-L-D)
Stephen Thompson,Welterweight,17-6-1 (W-L-D)
Darren Till,Middleweight,18-5-1 (W-L-D)
Denis Tiuliulin,Middleweight,11-7-0 (W-L-D)
Andrew Todhunter,Welterweight,8-0-0 (W-L-D)
Duško Todorović,Middleweight,12-3-0 (W-L-D)
Tuco Tokkos,Light Heavyweight,0-1-0 (W-L-D)
Ilia Topuria,Featherweight,13-0-0 (W-L-D)
Manuel Torres,Lightweight,13-2-0 (W-L-D)
Desmond Torres,Bantamweight,0-0-0 (W-L-D)
Tecia Torres,Women's Strawweight,13-6-0 (W-L-D)
Angelo Trevino,Welterweight,7-2-0 (W-L-D)
Robert Trujillo,Lightweight,0-0-0 (W-L-D)
Arman Tsarukyan,Lightweight,19-3-0 (W-L-D)
Gavin Tucker,Featherweight,13-2-0 (W-L-D)
Tai Tuivasa,Heavyweight,15-5-0 (W-L-D)
Zubaira Tukhugov,Lightweight,20-6-1 (W-L-D)
Ricky Turcios,Bantamweight,13-3-0 (W-L-D)
Anton Turkalj,Light Heavyweight,8-1-0 (W-L-D)
Wellington Turman,Middleweight,18-6-0 (W-L-D)
Jalin Turner,Lightweight,13-5-0 (W-L-D)
Austin Tweedy,Lightweight,8-2-0 (W-L-D)
